data.programNumber,value_assistanceUsage
23.001,Higher Education (includes Research)
23.001,Housing
23.001,Planning
23.001,Public Works
23.001,Regional Development
23.001,Science and Technology
23.001,Transportation
23.001,Training
23.001,Youth Development
23.001,Vocational Education
23.001,Vocational Rehabilitation
23.001,Community Development (includes Federal surplus property)
23.001,Construction/Renewal/Rehabilitation
23.001,Culture/Arts/Humanities
16.001,"Law, Justice, and Legal Services"
92.002,Libraries/lnformation/Statistics
16.301,"Law, Justice, and Legal Services"
16.301,Training
16.302,"Law, Justice, and Legal Services"
16.302,Training
16.003,"Law, Justice, and Legal Services"
16.603,Higher Education (includes Research)
16.603,"Law, Justice, and Legal Services"
16.603,Training
93.801,Health/Medical
93.801,Training
93.801,Civil Defense/Disaster Prevention and Relief/Emergency Preparedness
93.239,Higher Education (includes Research)
93.239,Planning
93.019,Health/Medical
97.047,Civil Defense/Disaster Prevention and Relief/Emergency Preparedness
93.103,"Environment (water, air, solid waste, pesticides, radiation)"
93.103,Food and Nutrition
93.103,Health/Medical
93.103,Higher Education (includes Research)
93.103,Agriculture/Forestry/Fish and Game
93.103,"Natural Resources (mineral, water, wildlife, land)"
93.103,Science and Technology
93.103,Training
93.103,Consumer Protection
93.103,Planning
19.980,"Law, Justice, and Legal Services"
19.980,Civil Defense/Disaster Prevention and Relief/Emergency Preparedness
19.205,Higher Education (includes Research)
38.006,Consumer Protection
19.026,No Functional Application/Unlimited Application
93.324,Health/Medical
93.324,Income Security/Social Service/Welfare
38.008,Training
38.008,Consumer Protection
93.878,Health/Medical
16.004,"Law, Justice, and Legal Services"
11.302,Economic Development
11.302,Planning
11.302,Regional Development
17.807,Employment/Labor/Management
17.807,Training
93.048,Income Security/Social Service/Welfare
19.665,Communications
19.665,Economic Development
19.665,International (includes Export/lmport)
19.665,Science and Technology
93.081,Health/Medical
93.081,Planning
93.081,Science and Technology
19.973,No Functional Application/Unlimited Application
19.700,No Functional Application/Unlimited Application
19.024,Communications
19.024,Construction/Renewal/Rehabilitation
64.128,Health/Medical
19.207,Employment/Labor/Management
19.207,Higher Education (includes Research)
21.009,Income Security/Social Service/Welfare
21.009,Business/Commerce
44.002,Economic Development
44.002,Income Security/Social Service/Welfare
44.002,Planning
44.002,Training
44.002,Youth Development
44.002,Community Development (includes Federal surplus property)
44.002,Consumer Protection
93.072,Health/Medical
93.072,Income Security/Social Service/Welfare
64.104,Income Security/Social Service/Welfare
64.105,Income Security/Social Service/Welfare
19.777,No Functional Application/Unlimited Application
93.104,Health/Medical
19.224,No Functional Application/Unlimited Application
93.889,Health/Medical
93.958,Health/Medical
64.110,Income Security/Social Service/Welfare
12.022,Training
93.470,Health/Medical
93.825,Health/Medical
93.825,Training
16.576,"Law, Justice, and Legal Services"
97.012,Maritime
97.012,Recreation (includes Historic Preservation)
93.433,Health/Medical
93.433,Income Security/Social Service/Welfare
19.791,No Functional Application/Unlimited Application
19.127,Higher Education (includes Research)
64.100,Health/Medical
64.100,Transportation
17.309,Employment/Labor/Management
17.309,Libraries/lnformation/Statistics
14.277,Housing
19.792,No Functional Application/Unlimited Application
93.469,Health/Medical
15.231,"Natural Resources (mineral, water, wildlife, land)"
38.009,Consumer Protection
38.009,Planning
38.009,Training
93.089,Health/Medical
42.012,Culture/Arts/Humanities
42.012,Higher Education (includes Research)
42.012,Libraries/lnformation/Statistics
64.109,Health/Medical
64.109,Income Security/Social Service/Welfare
15.648,"Natural Resources (mineral, water, wildlife, land)"
15.521,"Natural Resources (mineral, water, wildlife, land)"
15.509,"Natural Resources (mineral, water, wildlife, land)"
15.070,"Natural Resources (mineral, water, wildlife, land)"
15.070,Training
15.558,Planning
15.558,Construction/Renewal/Rehabilitation
15.517,"Natural Resources (mineral, water, wildlife, land)"
15.570,"Natural Resources (mineral, water, wildlife, land)"
15.564,"Natural Resources (mineral, water, wildlife, land)"
15.678,Higher Education (includes Research)
15.677,Civil Defense/Disaster Prevention and Relief/Emergency Preparedness
15.555,"Environment (water, air, solid waste, pesticides, radiation)"
20.802,Maritime
20.608,Transportation
20.114,Employment/Labor/Management
66.812,"Environment (water, air, solid waste, pesticides, radiation)"
15.681,Agriculture/Forestry/Fish and Game
15.681,"Natural Resources (mineral, water, wildlife, land)"
97.110,Civil Defense/Disaster Prevention and Relief/Emergency Preparedness
15.436,No Functional Application/Unlimited Application
15.436,"Natural Resources (mineral, water, wildlife, land)"
15.072,"Natural Resources (mineral, water, wildlife, land)"
15.072,Science and Technology
15.072,Training
11.313,International (includes Export/lmport)
11.313,Business/Commerce
11.024,Business/Commerce
11.024,Economic Development
11.024,Higher Education (includes Research)
11.024,International (includes Export/lmport)
11.024,Regional Development
11.024,Science and Technology
15.820,"Natural Resources (mineral, water, wildlife, land)"
15.820,Science and Technology
15.807,"Natural Resources (mineral, water, wildlife, land)"
66.129,Community Development (includes Federal surplus property)
66.129,"Environment (water, air, solid waste, pesticides, radiation)"
66.129,Planning
66.129,Public Works
66.129,Science and Technology
66.129,Training
15.566,"Environment (water, air, solid waste, pesticides, radiation)"
15.566,"Natural Resources (mineral, water, wildlife, land)"
15.535,"Natural Resources (mineral, water, wildlife, land)"
15.526,"Natural Resources (mineral, water, wildlife, land)"
15.408,Energy
15.511,"Natural Resources (mineral, water, wildlife, land)"
15.540,"Natural Resources (mineral, water, wildlife, land)"
15.428,"Environment (water, air, solid waste, pesticides, radiation)"
15.428,Higher Education (includes Research)
15.079,Employment/Labor/Management
15.079,"Environment (water, air, solid waste, pesticides, radiation)"
15.013,Higher Education (includes Research)
15.019,Employment/Labor/Management
66.959,Energy
66.959,"Environment (water, air, solid waste, pesticides, radiation)"
15.621,"Natural Resources (mineral, water, wildlife, land)"
15.626,"Natural Resources (mineral, water, wildlife, land)"
15.623,"Natural Resources (mineral, water, wildlife, land)"
15.619,"Natural Resources (mineral, water, wildlife, land)"
15.620,"Natural Resources (mineral, water, wildlife, land)"
15.622,"Natural Resources (mineral, water, wildlife, land)"
15.664,"Natural Resources (mineral, water, wildlife, land)"
15.608,Agriculture/Forestry/Fish and Game
15.608,"Natural Resources (mineral, water, wildlife, land)"
15.605,Higher Education (includes Research)
15.605,Agriculture/Forestry/Fish and Game
15.605,Recreation (includes Historic Preservation)
15.614,"Natural Resources (mineral, water, wildlife, land)"
15.099,"Environment (water, air, solid waste, pesticides, radiation)"
15.099,"Natural Resources (mineral, water, wildlife, land)"
15.615,"Natural Resources (mineral, water, wildlife, land)"
15.615,Planning
15.647,"Natural Resources (mineral, water, wildlife, land)"
15.643,"Natural Resources (mineral, water, wildlife, land)"
15.645,"Natural Resources (mineral, water, wildlife, land)"
15.651,"Natural Resources (mineral, water, wildlife, land)"
15.653,Agriculture/Forestry/Fish and Game
15.653,"Natural Resources (mineral, water, wildlife, land)"
11.023,Business/Commerce
11.023,Economic Development
11.023,Employment/Labor/Management
11.023,Regional Development
11.023,Science and Technology
11.023,Training
66.446,"Environment (water, air, solid waste, pesticides, radiation)"
66.446,Public Works
66.472,"Environment (water, air, solid waste, pesticides, radiation)"
84.329,Elementary/Secondary Education
84.329,Higher Education (includes Research)
84.181,Youth Development
15.563,"Natural Resources (mineral, water, wildlife, land)"
84.177,Vocational Rehabilitation
93.399,Health/Medical
93.399,Higher Education (includes Research)
84.116,Higher Education (includes Research)
15.529,"Natural Resources (mineral, water, wildlife, land)"
93.397,Health/Medical
93.397,Higher Education (includes Research)
45.160,Culture/Arts/Humanities
45.169,Culture/Arts/Humanities
66.815,"Environment (water, air, solid waste, pesticides, radiation)"
66.815,Vocational Education
20.806,Higher Education (includes Research)
20.806,Maritime
12.560,No Functional Application/Unlimited Application
12.560,Elementary/Secondary Education
64.058,Employment/Labor/Management
20.607,Transportation
93.396,Health/Medical
93.396,Higher Education (includes Research)
93.396,Science and Technology
66.440,"Environment (water, air, solid waste, pesticides, radiation)"
84.161,Vocational Rehabilitation
93.394,Health/Medical
93.394,Higher Education (includes Research)
84.334,Elementary/Secondary Education
84.334,Higher Education (includes Research)
84.334,Business/Commerce
15.531,"Natural Resources (mineral, water, wildlife, land)"
15.512,Maritime
15.512,"Natural Resources (mineral, water, wildlife, land)"
66.460,"Environment (water, air, solid waste, pesticides, radiation)"
93.353,No Functional Application/Unlimited Application
93.398,Health/Medical
93.398,Higher Education (includes Research)
93.398,Training
93.393,Health/Medical
93.393,Higher Education (includes Research)
93.393,Science and Technology
93.395,Health/Medical
93.395,Higher Education (includes Research)
84.428,Higher Education (includes Research)
84.187,Vocational Rehabilitation
15.569,"Natural Resources (mineral, water, wildlife, land)"
10.758,Energy
10.758,Economic Development
15.424,"Environment (water, air, solid waste, pesticides, radiation)"
15.423,"Natural Resources (mineral, water, wildlife, land)"
15.256,"Natural Resources (mineral, water, wildlife, land)"
20.933,Transportation
84.126,Vocational Rehabilitation
14.024,Housing
14.024,Planning
14.024,Regional Development
14.024,Community Development (includes Federal surplus property)
15.442,Higher Education (includes Research)
45.164,Culture/Arts/Humanities
45.163,Culture/Arts/Humanities
93.840,"Environment (water, air, solid waste, pesticides, radiation)"
93.840,Food and Nutrition
93.840,Health/Medical
93.840,Higher Education (includes Research)
93.840,Science and Technology
93.840,Training
84.379,Higher Education (includes Research)
93.350,Health/Medical
93.350,Training
93.847,Health/Medical
93.847,Higher Education (includes Research)
15.506,"Natural Resources (mineral, water, wildlife, land)"
84.103,Elementary/Secondary Education
84.103,Higher Education (includes Research)
93.242,Health/Medical
93.242,Higher Education (includes Research)
84.427,Vocational Rehabilitation
84.027,Elementary/Secondary Education
93.702,Construction/Renewal/Rehabilitation
93.838,Health/Medical
93.838,Higher Education (includes Research)
93.838,Youth Development
84.424,Elementary/Secondary Education
84.368,Elementary/Secondary Education
84.042,Higher Education (includes Research)
84.184,Higher Education (includes Research)
84.184,Youth Development
84.184,Elementary/Secondary Education
93.762,Food and Nutrition
93.762,Health/Medical
93.762,Training
93.762,Youth Development
93.762,Communications
93.649,"Environment (water, air, solid waste, pesticides, radiation)"
93.649,Food and Nutrition
93.649,Health/Medical
93.649,Higher Education (includes Research)
93.649,Regional Development
93.649,Transportation
93.649,Training
93.649,Youth Development
20.531,Energy
20.531,Higher Education (includes Research)
20.531,Science and Technology
20.531,Transportation
20.531,Economic Development
20.531,Employment/Labor/Management
20.531,Planning
20.531,Regional Development
20.531,Training
20.531,Vocational Education
20.531,Youth Development
93.816,Health/Medical
93.833,Health/Medical
93.349,Health/Medical
93.069,Civil Defense/Disaster Prevention and Relief/Emergency Preparedness
93.465,"Law, Justice, and Legal Services"
93.465,Youth Development
20.530,Energy
20.530,Higher Education (includes Research)
20.530,Science and Technology
20.530,Transportation
20.530,Economic Development
20.530,Employment/Labor/Management
20.530,Planning
20.530,Regional Development
20.530,Training
20.530,Vocational Education
20.530,Youth Development
93.283,Health/Medical
93.269,Health/Medical
20.520,"Natural Resources (mineral, water, wildlife, land)"
20.520,Public Works
20.520,Transportation
93.268,Health/Medical
20.316,Transportation
20.316,Public Works
19.225,No Functional Application/Unlimited Application
20.526,Public Works
20.526,Transportation
20.526,Construction/Renewal/Rehabilitation
93.845,Employment/Labor/Management
93.845,Health/Medical
93.845,Libraries/lnformation/Statistics
93.845,Science and Technology
93.845,Training
93.845,Communications
84.425,Elementary/Secondary Education
84.425,Higher Education (includes Research)
93.858,Food and Nutrition
93.858,Health/Medical
93.858,Training
93.858,Community Development (includes Federal surplus property)
93.946,Health/Medical
93.946,Youth Development
93.967,Health/Medical
93.967,Planning
93.967,Training
93.967,Communications
93.319,Food and Nutrition
93.944,Health/Medical
84.144,Elementary/Secondary Education
84.144,Higher Education (includes Research)
93.832,Health/Medical
93.084,Health/Medical
93.422,Health/Medical
93.318,No Functional Application/Unlimited Application
20.525,Public Works
20.525,Transportation
84.021,Higher Education (includes Research)
93.377,Health/Medical
20.532,Transportation
19.222,No Functional Application/Unlimited Application
93.083,Health/Medical
93.068,Health/Medical
10.973,Agriculture/Forestry/Fish and Game
15.253,"Natural Resources (mineral, water, wildlife, land)"
15.255,"Natural Resources (mineral, water, wildlife, land)"
15.255,Science and Technology
15.254,"Environment (water, air, solid waste, pesticides, radiation)"
15.254,Youth Development
15.546,"Natural Resources (mineral, water, wildlife, land)"
15.546,Training
15.546,Youth Development
84.041,Elementary/Secondary Education
84.041,Civil Defense/Disaster Prevention and Relief/Emergency Preparedness
84.423,Elementary/Secondary Education
84.423,Higher Education (includes Research)
12.019,Civil Defense/Disaster Prevention and Relief/Emergency Preparedness
12.019,Higher Education (includes Research)
84.165,Elementary/Secondary Education
84.165,Vocational Education
12.631,Elementary/Secondary Education
12.631,Higher Education (includes Research)
12.631,Science and Technology
12.631,Training
12.631,Youth Development
12.552,Higher Education (includes Research)
93.279,Health/Medical
93.279,Higher Education (includes Research)
93.989,Health/Medical
93.989,Higher Education (includes Research)
93.989,Training
84.369,Elementary/Secondary Education
84.367,Elementary/Secondary Education
15.074,"Natural Resources (mineral, water, wildlife, land)"
84.403,Elementary/Secondary Education
84.372,Elementary/Secondary Education
84.325,Elementary/Secondary Education
84.325,Higher Education (includes Research)
84.325,Training
84.325,Vocational Rehabilitation
12.554,International (includes Export/lmport)
12.554,Civil Defense/Disaster Prevention and Relief/Emergency Preparedness
84.129,Training
84.129,Vocational Rehabilitation
84.315,Higher Education (includes Research)
84.315,Training
84.315,Vocational Rehabilitation
84.066,Higher Education (includes Research)
21.014,Economic Development
21.014,Community Development (includes Federal surplus property)
66.441,"Environment (water, air, solid waste, pesticides, radiation)"
81.057,Energy
81.057,Higher Education (includes Research)
81.057,"Natural Resources (mineral, water, wildlife, land)"
81.057,Science and Technology
81.057,Training
15.537,"Natural Resources (mineral, water, wildlife, land)"
81.087,Energy
81.010,Energy
81.010,Business/Commerce
81.010,Employment/Labor/Management
81.010,Regional Development
15.543,"Natural Resources (mineral, water, wildlife, land)"
15.574,"Environment (water, air, solid waste, pesticides, radiation)"
81.089,Energy
81.089,Business/Commerce
14.417,Housing
14.417,"Law, Justice, and Legal Services"
14.417,Training
14.401,"Law, Justice, and Legal Services"
45.201,Culture/Arts/Humanities
14.251,Housing
14.418,Housing
14.418,"Law, Justice, and Legal Services"
14.418,Training
14.416,Housing
14.416,Training
14.416,"Law, Justice, and Legal Services"
14.408,Housing
15.533,"Environment (water, air, solid waste, pesticides, radiation)"
15.554,"Environment (water, air, solid waste, pesticides, radiation)"
15.554,"Natural Resources (mineral, water, wildlife, land)"
15.507,"Natural Resources (mineral, water, wildlife, land)"
15.557,Economic Development
15.557,"Natural Resources (mineral, water, wildlife, land)"
16.735,"Law, Justice, and Legal Services"
16.030,Higher Education (includes Research)
16.030,Planning
16.036,"Law, Justice, and Legal Services"
16.609,"Law, Justice, and Legal Services"
16.042,"Law, Justice, and Legal Services"
16.820,"Law, Justice, and Legal Services"
93.384,Health/Medical
16.050,"Law, Justice, and Legal Services"
16.050,Science and Technology
16.050,Transportation
16.593,"Law, Justice, and Legal Services"
16.742,"Law, Justice, and Legal Services"
66.806,"Environment (water, air, solid waste, pesticides, radiation)"
16.039,"Law, Justice, and Legal Services"
16.039,Training
16.833,"Law, Justice, and Legal Services"
15.571,"Environment (water, air, solid waste, pesticides, radiation)"
43.012,Science and Technology
43.003,Elementary/Secondary Education
43.003,Higher Education (includes Research)
43.003,Libraries/lnformation/Statistics
43.003,Science and Technology
43.003,Training
43.003,Youth Development
43.007,Elementary/Secondary Education
43.007,Higher Education (includes Research)
43.007,Libraries/lnformation/Statistics
43.007,Science and Technology
43.007,Training
43.007,Youth Development
19.345,International (includes Export/lmport)
16.824,"Law, Justice, and Legal Services"
15.235,"Environment (water, air, solid waste, pesticides, radiation)"
15.235,"Natural Resources (mineral, water, wildlife, land)"
15.982,"Environment (water, air, solid waste, pesticides, radiation)"
15.407,Employment/Labor/Management
15.407,"Natural Resources (mineral, water, wildlife, land)"
15.407,Recreation (includes Historic Preservation)
19.021,Elementary/Secondary Education
19.021,Higher Education (includes Research)
19.021,International (includes Export/lmport)
19.021,Training
19.021,Youth Development
19.021,Culture/Arts/Humanities
19.121,Economic Development
19.121,Employment/Labor/Management
19.121,"Environment (water, air, solid waste, pesticides, radiation)"
19.121,Health/Medical
19.121,Higher Education (includes Research)
19.121,International (includes Export/lmport)
19.121,"Law, Justice, and Legal Services"
19.121,Maritime
19.121,"Natural Resources (mineral, water, wildlife, land)"
19.121,Planning
19.121,Public Works
19.121,Recreation (includes Historic Preservation)
19.121,Regional Development
19.121,Science and Technology
19.121,Training
19.121,Youth Development
19.121,Vocational Education
19.121,Culture/Arts/Humanities
81.012,Science and Technology
81.012,No Functional Application/Unlimited Application
81.012,Higher Education (includes Research)
16.827,No Functional Application/Unlimited Application
19.801,Economic Development
19.801,Employment/Labor/Management
19.801,"Environment (water, air, solid waste, pesticides, radiation)"
19.801,Food and Nutrition
19.801,"Law, Justice, and Legal Services"
19.801,Science and Technology
19.801,Training
19.801,Youth Development
19.801,Vocational Education
19.801,Vocational Rehabilitation
19.878,International (includes Export/lmport)
16.046,Higher Education (includes Research)
81.138,Energy
19.808,No Functional Application/Unlimited Application
16.816,"Law, Justice, and Legal Services"
16.596,Construction/Renewal/Rehabilitation
16.015,"Law, Justice, and Legal Services"
15.017,"Natural Resources (mineral, water, wildlife, land)"
15.016,"Natural Resources (mineral, water, wildlife, land)"
19.303,Higher Education (includes Research)
19.663,No Functional Application/Unlimited Application
19.029,Health/Medical
19.705,"Law, Justice, and Legal Services"
16.040,"Law, Justice, and Legal Services"
14.892,Planning
14.892,Housing
14.892,Community Development (includes Federal surplus property)
19.901,No Functional Application/Unlimited Application
19.901,International (includes Export/lmport)
19.901,Training
19.027,Economic Development
19.027,Energy
19.027,"Natural Resources (mineral, water, wildlife, land)"
15.012,Elementary/Secondary Education
15.012,"Environment (water, air, solid waste, pesticides, radiation)"
15.012,Higher Education (includes Research)
15.012,"Natural Resources (mineral, water, wildlife, land)"
15.012,Science and Technology
15.012,Training
16.044,"Law, Justice, and Legal Services"
16.044,Training
15.241,"Natural Resources (mineral, water, wildlife, land)"
16.738,"Law, Justice, and Legal Services"
81.123,Higher Education (includes Research)
81.123,Science and Technology
19.704,"Law, Justice, and Legal Services"
15.245,Agriculture/Forestry/Fish and Game
15.245,"Natural Resources (mineral, water, wildlife, land)"
15.904,Higher Education (includes Research)
15.904,Recreation (includes Historic Preservation)
15.904,Community Development (includes Federal surplus property)
15.904,Construction/Renewal/Rehabilitation
15.904,Economic Development
15.904,Culture/Arts/Humanities
15.904,Planning
15.904,Regional Development
16.031,"Law, Justice, and Legal Services"
19.035,International (includes Export/lmport)
19.035,Planning
19.035,Regional Development
19.035,Training
81.119,Energy
93.361,Health/Medical
93.361,Higher Education (includes Research)
19.322,No Functional Application/Unlimited Application
19.703,"Law, Justice, and Legal Services"
19.703,Training
81.131,Energy
19.040,Elementary/Secondary Education
19.040,Higher Education (includes Research)
19.040,International (includes Export/lmport)
19.040,"Law, Justice, and Legal Services"
19.040,Science and Technology
19.040,Training
19.040,Youth Development
19.040,Communications
19.040,Culture/Arts/Humanities
15.956,Recreation (includes Historic Preservation)
15.956,Community Development (includes Federal surplus property)
19.707,No Functional Application/Unlimited Application
15.236,"Environment (water, air, solid waste, pesticides, radiation)"
15.236,"Natural Resources (mineral, water, wildlife, land)"
19.501,Economic Development
19.501,Higher Education (includes Research)
19.501,Libraries/lnformation/Statistics
19.501,Planning
19.501,Recreation (includes Historic Preservation)
19.501,Training
19.501,Youth Development
19.501,Communications
19.501,Culture/Arts/Humanities
16.032,Science and Technology
16.032,"Law, Justice, and Legal Services"
15.229,"Natural Resources (mineral, water, wildlife, land)"
19.033,Health/Medical
19.033,Higher Education (includes Research)
19.033,International (includes Export/lmport)
19.033,"Law, Justice, and Legal Services"
19.033,Science and Technology
19.033,Training
19.033,Civil Defense/Disaster Prevention and Relief/Emergency Preparedness
81.128,Energy
19.666,International (includes Export/lmport)
15.224,"Natural Resources (mineral, water, wildlife, land)"
15.224,Recreation (includes Historic Preservation)
93.972,Health/Medical
16.750,"Law, Justice, and Legal Services"
19.948,Economic Development
19.948,"Law, Justice, and Legal Services"
19.948,Civil Defense/Disaster Prevention and Relief/Emergency Preparedness
19.701,International (includes Export/lmport)
19.701,"Law, Justice, and Legal Services"
19.701,Training
19.204,Agriculture/Forestry/Fish and Game
19.204,Maritime
19.750,Economic Development
19.750,Employment/Labor/Management
19.750,Energy
19.750,"Environment (water, air, solid waste, pesticides, radiation)"
19.750,Housing
19.750,Agriculture/Forestry/Fish and Game
19.750,"Natural Resources (mineral, water, wildlife, land)"
19.750,Planning
19.750,Public Works
19.750,Regional Development
19.750,Science and Technology
19.750,Business/Commerce
19.750,Training
19.750,Youth Development
19.750,Community Development (includes Federal surplus property)
14.248,Economic Development
14.248,Housing
14.248,Public Works
14.248,Business/Commerce
14.248,Community Development (includes Federal surplus property)
14.248,Construction/Renewal/Rehabilitation
15.522,"Natural Resources (mineral, water, wildlife, land)"
19.017,Economic Development
19.017,Energy
19.017,"Environment (water, air, solid waste, pesticides, radiation)"
19.017,Health/Medical
19.017,"Natural Resources (mineral, water, wildlife, land)"
19.017,Science and Technology
19.017,Training
19.028,Higher Education (includes Research)
19.124,No Functional Application/Unlimited Application
15.443,Economic Development
15.443,Youth Development
16.550,"Law, Justice, and Legal Services"
15.444,Maritime
15.444,"Natural Resources (mineral, water, wildlife, land)"
19.087,Agriculture/Forestry/Fish and Game
19.087,"Natural Resources (mineral, water, wildlife, land)"
15.518,"Environment (water, air, solid waste, pesticides, radiation)"
15.518,Agriculture/Forestry/Fish and Game
15.518,"Natural Resources (mineral, water, wildlife, land)"
16.840,"Law, Justice, and Legal Services"
45.130,Culture/Arts/Humanities
12.400,Construction/Renewal/Rehabilitation
12.335,Science and Technology
12.021,"Environment (water, air, solid waste, pesticides, radiation)"
12.021,Agriculture/Forestry/Fish and Game
12.021,"Natural Resources (mineral, water, wildlife, land)"
12.021,Recreation (includes Historic Preservation)
19.517,International (includes Export/lmport)
66.510,"Environment (water, air, solid waste, pesticides, radiation)"
66.510,Higher Education (includes Research)
66.510,Science and Technology
66.517,"Environment (water, air, solid waste, pesticides, radiation)"
66.517,Science and Technology
66.517,Higher Education (includes Research)
19.510,Income Security/Social Service/Welfare
15.538,"Natural Resources (mineral, water, wildlife, land)"
81.049,Energy
81.049,Higher Education (includes Research)
19.518,International (includes Export/lmport)
15.520,"Environment (water, air, solid waste, pesticides, radiation)"
15.520,"Natural Resources (mineral, water, wildlife, land)"
81.135,Energy
66.468,"Environment (water, air, solid waste, pesticides, radiation)"
43.009,Elementary/Secondary Education
43.009,Higher Education (includes Research)
43.009,Science and Technology
43.009,Training
66.521,"Environment (water, air, solid waste, pesticides, radiation)"
66.521,Science and Technology
66.521,Higher Education (includes Research)
43.008,Elementary/Secondary Education
43.008,Higher Education (includes Research)
43.008,Libraries/lnformation/Statistics
43.008,Science and Technology
43.008,Training
43.008,Youth Development
43.001,Elementary/Secondary Education
43.001,Energy
43.001,"Environment (water, air, solid waste, pesticides, radiation)"
43.001,Health/Medical
43.001,Higher Education (includes Research)
43.001,Libraries/lnformation/Statistics
43.001,"Natural Resources (mineral, water, wildlife, land)"
43.001,Planning
43.001,Science and Technology
43.001,Training
43.001,Youth Development
15.252,"Environment (water, air, solid waste, pesticides, radiation)"
15.252,"Natural Resources (mineral, water, wildlife, land)"
15.252,Economic Development
66.443,"Environment (water, air, solid waste, pesticides, radiation)"
66.522,"Environment (water, air, solid waste, pesticides, radiation)"
66.522,Higher Education (includes Research)
66.522,Science and Technology
43.002,Elementary/Secondary Education
43.002,Higher Education (includes Research)
43.002,Libraries/lnformation/Statistics
43.002,Science and Technology
43.002,Training
43.002,Youth Development
15.031,Civil Defense/Disaster Prevention and Relief/Emergency Preparedness
15.114,Higher Education (includes Research)
15.114,Training
15.037,"Natural Resources (mineral, water, wildlife, land)"
19.010,Higher Education (includes Research)
15.038,Energy
15.038,"Natural Resources (mineral, water, wildlife, land)"
15.044,Elementary/Secondary Education
15.144,Employment/Labor/Management
15.144,Health/Medical
15.144,Higher Education (includes Research)
15.144,Housing
15.144,Income Security/Social Service/Welfare
15.144,"Law, Justice, and Legal Services"
15.144,Training
15.058,No Functional Application/Unlimited Application
15.154,"Natural Resources (mineral, water, wildlife, land)"
15.154,Recreation (includes Historic Preservation)
15.960,Higher Education (includes Research)
19.408,Higher Education (includes Research)
15.156,"Environment (water, air, solid waste, pesticides, radiation)"
15.156,Agriculture/Forestry/Fish and Game
15.156,"Natural Resources (mineral, water, wildlife, land)"
15.156,Planning
15.156,Public Works
15.156,Science and Technology
15.156,Training
15.156,Youth Development
15.156,Civil Defense/Disaster Prevention and Relief/Emergency Preparedness
14.313,Housing
14.169,Housing
14.169,Planning
14.169,Consumer Protection
19.300,Higher Education (includes Research)
15.876,"Environment (water, air, solid waste, pesticides, radiation)"
15.876,"Natural Resources (mineral, water, wildlife, land)"
15.876,Recreation (includes Historic Preservation)
15.876,Science and Technology
15.876,Culture/Arts/Humanities
15.876,Community Development (includes Federal surplus property)
15.876,Agriculture/Forestry/Fish and Game
19.511,International (includes Export/lmport)
