data.programNumber,value
16.300,Individual/Family
90.300,"State (includes District of Columbia, public institutions of higher education and hospitals)"
90.300,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
90.100,Federal
90.100,"State (includes District of Columbia, public institutions of higher education and hospitals)"
90.100,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
90.100,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
90.100,Other public institution/organization
90.100,Profit organization
90.100,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
90.100,Other private institutions/organizations
90.100,State
90.500,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
90.500,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
90.500,Quasi-public nonprofit institution/organization
16.922,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
16.922,Federally Recognized lndian Tribal Governments
16.922,U.S. Territories and possessions
16.922,State
89.003,"State (includes District of Columbia, public institutions of higher education and hospitals)"
89.003,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
89.003,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
89.003,Federally Recognized lndian Tribal Governments
89.003,U.S. Territories and possessions (includes institutions of higher education and hospitals)
89.003,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
89.003,Quasi-public nonprofit institution/organization
31.007,Anyone/general public
23.003,"State (includes District of Columbia, public institutions of higher education and hospitals)"
23.001,Government - General
23.001,Federal
23.001,Interstate
23.001,Intrastate
23.001,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
23.001,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
23.001,Other public institution/organization
23.001,Profit organization
23.001,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
23.001,State
16.001,"State (includes District of Columbia, public institutions of higher education and hospitals)"
16.001,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
92.002,Anyone/general public
16.301,"State (includes District of Columbia, public institutions of higher education and hospitals)"
16.301,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
16.301,U.S. Territories and possessions (includes institutions of higher education and hospitals)
16.301,"Specialized group (e.g. health professionals, students, veterans)"
16.302,"State (includes District of Columbia, public institutions of higher education and hospitals)"
16.302,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
16.003,"Specialized group (e.g. health professionals, students, veterans)"
16.003,Profit organization
16.003,Other private institutions/organizations
16.603,"State (includes District of Columbia, public institutions of higher education and hospitals)"
16.603,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
16.603,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
16.603,Individual/Family
16.603,"Specialized group (e.g. health professionals, students, veterans)"
16.603,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
16.603,Other private institutions/organizations
93.801,"State (includes District of Columbia, public institutions of higher education and hospitals)"
93.239,"State (includes District of Columbia, public institutions of higher education and hospitals)"
93.239,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
93.239,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
93.239,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
93.019,Sponsored organization
93.019,"Specialized group (e.g. health professionals, students, veterans)"
93.019,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
93.019,Other private institutions/organizations
97.047,Government - General
97.047,"State (includes District of Columbia, public institutions of higher education and hospitals)"
97.047,Federally Recognized lndian Tribal Governments
97.047,U.S. Territories and possessions (includes institutions of higher education and hospitals)
93.103,U.S. Territories and possessions
93.103,State
93.103,"State (includes District of Columbia, public institutions of higher education and hospitals)"
93.103,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
93.103,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
93.103,Other public institution/organization
93.103,Federally Recognized lndian Tribal Governments
93.103,U.S. Territories and possessions (includes institutions of higher education and hospitals)
93.103,Small business (less than 500 employees)
93.103,"Native American Organizations (includes lndian groups, cooperatives, corporations, partnerships, associations)"
93.103,Other private institutions/organizations
93.103,Quasi-public nonprofit institution/organization
93.103,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
93.103,Profit organization
19.980,Anyone/general public
19.205,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
38.006,State
38.006,U.S. Territories and possessions
19.026,Government - General
19.026,Federal
19.026,Sponsored organization
19.026,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
19.026,Other public institution/organization
19.026,Non-Government - General
19.026,"Specialized group (e.g. health professionals, students, veterans)"
19.026,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
19.026,Quasi-public nonprofit institution/organization
19.026,State
93.324,U.S. Territories and possessions
93.324,State
38.008,Non-Government - General
38.008,Profit organization
38.008,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
93.878,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
16.004,"State (includes District of Columbia, public institutions of higher education and hospitals)"
16.004,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
16.004,"Specialized group (e.g. health professionals, students, veterans)"
11.302,Interstate
11.302,Intrastate
11.302,"State (includes District of Columbia, public institutions of higher education and hospitals)"
11.302,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
11.302,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
11.302,Other public institution/organization
11.302,Federally Recognized lndian Tribal Governments
11.302,U.S. Territories and possessions
11.302,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
11.302,Quasi-public nonprofit institution/organization
17.807,Non-Government - General
93.048,Sponsored organization
93.048,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
93.048,Other public institution/organization
19.665,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
19.665,Non-Government - General
19.665,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
19.665,Anyone/general public
93.081,"State (includes District of Columbia, public institutions of higher education and hospitals)"
93.081,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
93.081,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
93.081,Other public institution/organization
93.081,"Specialized group (e.g. health professionals, students, veterans)"
93.081,Profit organization
93.081,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
19.973,Sponsored organization
19.700,Sponsored organization
19.700,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
19.700,Other public institution/organization
19.700,Non-Government - General
19.700,Individual/Family
19.700,Profit organization
19.700,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
19.700,Quasi-public nonprofit institution/organization
19.700,Other private institutions/organizations
19.024,Other public institution/organization
19.024,Non-Government - General
19.024,Quasi-public nonprofit institution/organization
19.024,Other private institutions/organizations
64.128,"Specialized group (e.g. health professionals, students, veterans)"
19.207,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
19.207,Other public institution/organization
21.009,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
21.009,Other public institution/organization
21.009,Federally Recognized lndian Tribal Governments
21.009,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
44.002,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
93.072,"State (includes District of Columbia, public institutions of higher education and hospitals)"
93.072,State
64.104,Individual/Family
64.104,"Specialized group (e.g. health professionals, students, veterans)"
64.105,Individual/Family
19.777,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
19.777,Non-Government - General
19.777,Anyone/general public
19.777,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
19.777,Quasi-public nonprofit institution/organization
93.104,"State (includes District of Columbia, public institutions of higher education and hospitals)"
93.104,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
19.224,Government - General
93.889,"State (includes District of Columbia, public institutions of higher education and hospitals)"
93.889,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
93.889,U.S. Territories and possessions (includes institutions of higher education and hospitals)
93.958,State
93.958,U.S. Territories and possessions
93.958,Other private institutions/organizations
64.110,Individual/Family
12.022,Small business (less than 500 employees)
12.022,Profit organization
12.022,"Native American Organizations (includes lndian groups, cooperatives, corporations, partnerships, associations)"
93.470,Government - General
93.470,"State (includes District of Columbia, public institutions of higher education and hospitals)"
93.470,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
93.470,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
93.470,Other public institution/organization
93.470,Federally Recognized lndian Tribal Governments
93.470,U.S. Territories and possessions (includes institutions of higher education and hospitals)
93.470,Non-Government - General
93.825,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
93.825,Other public institution/organization
93.825,Other private institutions/organizations
16.576,"State (includes District of Columbia, public institutions of higher education and hospitals)"
16.576,U.S. Territories and possessions (includes institutions of higher education and hospitals)
97.012,State
97.012,U.S. Territories and possessions
97.012,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
97.012,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
97.012,Quasi-public nonprofit institution/organization
97.012,Other private institutions/organizations
93.433,"State (includes District of Columbia, public institutions of higher education and hospitals)"
93.433,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
93.433,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
93.433,Other public institution/organization
93.433,Federally Recognized lndian Tribal Governments
93.433,Individual/Family
93.433,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
93.433,State
19.791,Sponsored organization
19.127,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
64.100,Individual/Family
64.100,"Specialized group (e.g. health professionals, students, veterans)"
17.309,Individual/Family
17.309,"Specialized group (e.g. health professionals, students, veterans)"
17.309,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
14.277,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
14.277,State
14.277,Federally Recognized lndian Tribal Governments
19.792,Sponsored organization
93.469,"State (includes District of Columbia, public institutions of higher education and hospitals)"
93.469,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
93.469,U.S. Territories and possessions
15.231,"State (includes District of Columbia, public institutions of higher education and hospitals)"
15.231,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
15.231,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
15.231,Other public institution/organization
15.231,Federally Recognized lndian Tribal Governments
15.231,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
15.231,Quasi-public nonprofit institution/organization
15.231,Other private institutions/organizations
15.231,"Native American Organizations (includes lndian groups, cooperatives, corporations, partnerships, associations)"
38.009,Non-Government - General
93.089,"State (includes District of Columbia, public institutions of higher education and hospitals)"
93.089,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
93.089,Other public institution/organization
93.089,U.S. Territories and possessions (includes institutions of higher education and hospitals)
93.089,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
42.012,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
42.012,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
42.012,U.S. Territories and possessions (includes institutions of higher education and hospitals)
42.012,U.S. Territories and possessions
42.012,"State (includes District of Columbia, public institutions of higher education and hospitals)"
42.012,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
42.012,Federally Recognized lndian Tribal Governments
42.012,State
64.109,Individual/Family
64.109,"Specialized group (e.g. health professionals, students, veterans)"
15.648,"State (includes District of Columbia, public institutions of higher education and hospitals)"
15.648,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
15.648,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
15.648,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
15.648,"Native American Organizations (includes lndian groups, cooperatives, corporations, partnerships, associations)"
15.648,Profit organization
15.521,"State (includes District of Columbia, public institutions of higher education and hospitals)"
15.521,"Specialized group (e.g. health professionals, students, veterans)"
15.509,"State (includes District of Columbia, public institutions of higher education and hospitals)"
15.509,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
15.509,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
15.509,Federally Recognized lndian Tribal Governments
15.509,U.S. Territories and possessions (includes institutions of higher education and hospitals)
15.509,Individual/Family
15.509,Profit organization
15.509,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
15.070,Other public institution/organization
15.558,Federally Recognized lndian Tribal Governments
15.517,"State (includes District of Columbia, public institutions of higher education and hospitals)"
15.517,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
15.517,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
15.517,Federally Recognized lndian Tribal Governments
15.517,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
15.517,"Native American Organizations (includes lndian groups, cooperatives, corporations, partnerships, associations)"
15.570,Non-Government - General
15.564,Anyone/general public
15.678,Federal
15.678,"State (includes District of Columbia, public institutions of higher education and hospitals)"
15.678,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
15.678,Other public institution/organization
15.678,State
15.678,"Native American Organizations (includes lndian groups, cooperatives, corporations, partnerships, associations)"
15.677,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
15.677,Federally Recognized lndian Tribal Governments
15.677,Profit organization
15.677,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
15.677,State
15.677,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
15.555,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
15.555,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
15.555,State
15.555,Anyone/general public
20.802,Individual/Family
20.802,Profit organization
20.608,"State (includes District of Columbia, public institutions of higher education and hospitals)"
20.114,Profit organization
66.812,Federally Recognized lndian Tribal Governments
66.812,"Native American Organizations (includes lndian groups, cooperatives, corporations, partnerships, associations)"
15.681,Individual/Family
15.681,Small business (less than 500 employees)
15.681,Other private institutions/organizations
97.110,Government - General
97.110,"State (includes District of Columbia, public institutions of higher education and hospitals)"
97.110,Federally Recognized lndian Tribal Governments
97.110,U.S. Territories and possessions (includes institutions of higher education and hospitals)
15.436,State
15.072,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
11.313,"State (includes District of Columbia, public institutions of higher education and hospitals)"
11.313,Sponsored organization
11.313,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
11.313,Other public institution/organization
11.313,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
11.313,Other private institutions/organizations
11.024,U.S. Territories and possessions
11.024,Government - General
11.024,Interstate
11.024,Intrastate
11.024,State
11.024,"State (includes District of Columbia, public institutions of higher education and hospitals)"
11.024,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
11.024,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
11.024,U.S. Territories and possessions (includes institutions of higher education and hospitals)
11.024,Federally Recognized lndian Tribal Governments
11.024,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
11.024,Quasi-public nonprofit institution/organization
11.024,"Native American Organizations (includes lndian groups, cooperatives, corporations, partnerships, associations)"
11.024,Other public institution/organization
15.820,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
15.820,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
15.820,Quasi-public nonprofit institution/organization
15.807,"State (includes District of Columbia, public institutions of higher education and hospitals)"
15.807,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
15.807,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
15.807,Other public institution/organization
15.807,Individual/Family
15.807,Profit organization
15.807,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
66.129,Interstate
66.129,State
66.129,"State (includes District of Columbia, public institutions of higher education and hospitals)"
66.129,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
66.129,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
66.129,Federally Recognized lndian Tribal Governments
66.129,U.S. Territories and possessions (includes institutions of higher education and hospitals)
66.129,Non-Government - General
66.129,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
66.129,"Native American Organizations (includes lndian groups, cooperatives, corporations, partnerships, associations)"
15.566,Federal
15.566,Interstate
15.566,"State (includes District of Columbia, public institutions of higher education and hospitals)"
15.566,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
15.566,Sponsored organization
15.566,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
15.566,Federally Recognized lndian Tribal Governments
15.566,Minority group
15.566,Small business (less than 500 employees)
15.566,Profit organization
15.566,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
15.566,Other private institutions/organizations
15.566,"Native American Organizations (includes lndian groups, cooperatives, corporations, partnerships, associations)"
15.535,Intrastate
15.535,"State (includes District of Columbia, public institutions of higher education and hospitals)"
15.535,Sponsored organization
15.535,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
15.535,Federally Recognized lndian Tribal Governments
15.526,"Specialized group (e.g. health professionals, students, veterans)"
15.408,"State (includes District of Columbia, public institutions of higher education and hospitals)"
15.408,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
15.408,State
15.511,Interstate
15.511,"State (includes District of Columbia, public institutions of higher education and hospitals)"
15.511,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
15.511,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
15.511,Federally Recognized lndian Tribal Governments
15.511,Small business (less than 500 employees)
15.511,"Native American Organizations (includes lndian groups, cooperatives, corporations, partnerships, associations)"
15.540,State
15.428,"State (includes District of Columbia, public institutions of higher education and hospitals)"
15.428,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
15.428,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
15.079,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
15.079,State
15.013,Government - General
15.013,Federal
15.013,State
15.013,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
15.013,Federally Recognized lndian Tribal Governments
15.019,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
15.019,Other private institutions/organizations
15.019,Profit organization
15.019,Non-Government - General
15.019,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
15.019,State
66.959,U.S. Territories and possessions
66.959,State
66.959,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
66.959,Non-Government - General
66.959,Federally Recognized lndian Tribal Governments
15.621,Federal
15.621,"State (includes District of Columbia, public institutions of higher education and hospitals)"
15.621,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
15.621,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
15.621,Other public institution/organization
15.621,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
15.621,Other private institutions/organizations
15.626,State
15.626,U.S. Territories and possessions
15.623,"State (includes District of Columbia, public institutions of higher education and hospitals)"
15.623,U.S. Territories and possessions
15.623,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
15.623,Other private institutions/organizations
15.623,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
15.623,Other public institution/organization
15.623,Individual/Family
15.619,Federal
15.619,"State (includes District of Columbia, public institutions of higher education and hospitals)"
15.619,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
15.619,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
15.619,Other public institution/organization
15.619,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
15.619,Other private institutions/organizations
15.620,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
15.620,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
15.620,Anyone/general public
15.622,State
15.622,U.S. Territories and possessions
15.664,Federal
15.664,"State (includes District of Columbia, public institutions of higher education and hospitals)"
15.664,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
15.664,Federally Recognized lndian Tribal Governments
15.664,U.S. Territories and possessions (includes institutions of higher education and hospitals)
15.664,Non-Government - General
15.664,"Native American Organizations (includes lndian groups, cooperatives, corporations, partnerships, associations)"
15.664,Anyone/general public
15.664,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
15.664,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
15.664,Profit organization
15.664,Other private institutions/organizations
15.608,Federal
15.608,"State (includes District of Columbia, public institutions of higher education and hospitals)"
15.608,Federally Recognized lndian Tribal Governments
15.608,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
15.608,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
15.608,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
15.608,Individual/Family
15.608,Interstate
15.608,Intrastate
15.605,"State (includes District of Columbia, public institutions of higher education and hospitals)"
15.605,U.S. Territories and possessions (includes institutions of higher education and hospitals)
15.614,State
15.099,State
15.099,Federally Recognized lndian Tribal Governments
15.615,"State (includes District of Columbia, public institutions of higher education and hospitals)"
15.615,U.S. Territories and possessions (includes institutions of higher education and hospitals)
15.647,Federal
15.647,"State (includes District of Columbia, public institutions of higher education and hospitals)"
15.647,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
15.647,Federally Recognized lndian Tribal Governments
15.647,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
15.647,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
15.643,"State (includes District of Columbia, public institutions of higher education and hospitals)"
15.643,"Native American Organizations (includes lndian groups, cooperatives, corporations, partnerships, associations)"
15.643,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
15.643,Other public institution/organization
15.643,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
15.645,Federal
15.645,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
15.645,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
15.645,Profit organization
15.645,Other private institutions/organizations
15.645,Other public institution/organization
15.645,Non-Government - General
15.651,Federal
15.651,"State (includes District of Columbia, public institutions of higher education and hospitals)"
15.651,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
15.651,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
15.651,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
15.651,Non-Government - General
15.653,Anyone/general public
11.023,U.S. Territories and possessions
11.023,Government - General
11.023,Federal
11.023,Interstate
11.023,Intrastate
11.023,State
11.023,"State (includes District of Columbia, public institutions of higher education and hospitals)"
11.023,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
11.023,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
11.023,Other public institution/organization
11.023,Federally Recognized lndian Tribal Governments
11.023,U.S. Territories and possessions (includes institutions of higher education and hospitals)
11.023,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
11.023,"Native American Organizations (includes lndian groups, cooperatives, corporations, partnerships, associations)"
66.446,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
66.446,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
66.472,U.S. Territories and possessions
66.472,"State (includes District of Columbia, public institutions of higher education and hospitals)"
66.472,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
66.472,Other public institution/organization
66.472,Federally Recognized lndian Tribal Governments
84.329,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
84.329,Other public institution/organization
84.329,Small business (less than 500 employees)
84.329,Profit organization
84.329,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
84.329,Other private institutions/organizations
84.181,State
15.563,State
84.177,U.S. Territories and possessions (includes institutions of higher education and hospitals)
84.177,State
93.399,"State (includes District of Columbia, public institutions of higher education and hospitals)"
93.399,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
93.399,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
93.399,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
84.116,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
84.116,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
15.529,Federal
15.529,Interstate
15.529,Intrastate
15.529,"State (includes District of Columbia, public institutions of higher education and hospitals)"
15.529,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
15.529,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
15.529,Federally Recognized lndian Tribal Governments
93.397,"State (includes District of Columbia, public institutions of higher education and hospitals)"
93.397,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
93.397,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
93.397,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
93.397,Quasi-public nonprofit institution/organization
45.160,Individual/Family
