data.programNumber,value_beneficiary
15.516,Federally Recognized Indian Tribal Governments
15.684,
15.567,Local
15.686,
15.525,Native American Organizations
15.525,Federally Recognized Indian Tribal Governments
15.685,
15.076,Sponsored organization
15.076,Anyone/general public
94.027,Individual/Family
10.328,Federal
10.328,Private nonprofit institution/organization
10.328,Other private institution/organization
10.328,Native American Organizations
10.328,State
10.328,Local
10.328,Public nonprofit institution/organization
10.328,Other public institution/organization
10.328,Federally Recognized Indian Tribal Governments
64.014,Veteran/Service person/Reservist (including dependents
64.014,"Disabled (e.g. Deaf, Blind, Physically Disabled)"
64.014,"Physically Afflicted (e.g. TB, Arthritis, Heart Disease)"
64.015,Veteran/Service person/Reservist (including dependents
64.015,"Disabled (e.g. Deaf, Blind, Physically Disabled)"
64.015,"Physically Afflicted (e.g. TB, Arthritis, Heart Disease)"
64.026,"Specialized group (e.g. health professionals, students, veterans)"
64.053,State
15.635,
15.634,Anyone/general public
15.634,State
87.003,State
15.636,Federal
15.636,Individual/Family
15.636,Profit organization
15.636,Private nonprofit institution/organization
15.636,Other private institution/organization
15.636,Native American Organizations
15.636,State
15.636,Public nonprofit institution/organization
15.636,Other public institution/organization
15.636,Federally Recognized Indian Tribal Governments
15.628,State
42.015,
15.629,Federal
15.629,Private nonprofit institution/organization
15.629,Other private institution/organization
15.629,State
15.629,Local
15.629,Public nonprofit institution/organization
15.629,Other public institution/organization
15.655,Federal
15.655,U.S. Territories
15.655,Individual/Family
15.655,"Specialized group (e.g. health professionals, students, veterans)"
15.655,Small business
15.655,Profit organization
15.655,Private nonprofit institution/organization
15.655,Quasi-public nonprofit organization
15.655,Other private institution/organization
15.655,Interstate
15.655,Intrastate
15.655,State
15.655,Local
15.655,Public nonprofit institution/organization
15.655,Other public institution/organization
15.655,Federally Recognized Indian Tribal Governments
15.616,U.S. Territories
15.616,State
97.138,
97.132,U.S. Territories
97.132,State
97.132,Local
97.132,Education (13+)
97.132,Public nonprofit institution/organization
97.132,Other public institution/organization
97.132,Federally Recognized Indian Tribal Governments
15.657,"Specialized group (e.g. health professionals, students, veterans)"
15.657,Small business
15.657,Private nonprofit institution/organization
15.657,Native American Organizations
15.657,State
15.657,Local
15.657,Public nonprofit institution/organization
15.657,Federally Recognized Indian Tribal Governments
97.043,State
97.043,Local
15.069,
97.018,Student/Trainee
11.303,"Major Metropolis (over 250,000)"
11.303,Other Urban
11.303,Suburban
11.303,Rural
93.243,Private nonprofit institution/organization
93.243,Quasi-public nonprofit organization
93.243,State
93.243,Local
93.243,Sponsored organization
93.243,Public nonprofit institution/organization
93.243,Other public institution/organization
93.243,Federally Recognized Indian Tribal Governments
16.056,Individual/Family
15.575,Anyone/general public
11.039,State
11.039,Local
11.039,Interstate
11.039,Intrastate
11.039,Public nonprofit institution/organization
11.039,Other public institution/organization
11.039,Federally Recognized Indian Tribal Governments
11.039,U.S. Territories
11.039,Quasi-public nonprofit organization
11.039,Native American Organizations
11.039,"Major Metropolis (over 250,000)"
11.039,Other Urban
11.039,Suburban
11.039,Rural
93.347,
12.610,State
12.610,Local
12.610,Federally Recognized Indian Tribal Governments
98.001,Anyone/general public
10.850,Consumer
10.850,Rural
16.309,Federal
16.309,Anyone/general public
15.637,Anyone/general public
93.698,State
93.698,U.S. Territories
15.639,Anyone/general public
15.639,Federally Recognized Indian Tribal Governments
15.640,Federal
15.640,Private nonprofit institution/organization
15.640,State
15.640,Local
15.640,Public nonprofit institution/organization
15.666,Individual/Family
15.666,Small business
15.666,Profit organization
15.666,Private nonprofit institution/organization
15.666,Anyone/general public
15.666,Farmer/Rancher/Agriculture Producer
15.666,Small Business Person
15.666,Land/Property Owner
15.661,
15.667,State
15.660,
15.662,Federal
15.662,Native American Organizations
15.662,State
15.665,Federal
15.665,U.S. Territories
15.665,Profit organization
15.665,State
15.665,Local
15.665,Public nonprofit institution/organization
15.665,Federally Recognized Indian Tribal Governments
15.663,Federal
15.663,U.S. Territories
15.663,Private nonprofit institution/organization
15.663,Anyone/general public
15.663,State
15.663,Public nonprofit institution/organization
15.658,
93.661,State
93.661,Local
93.661,Public nonprofit institution/organization
93.661,Other public institution/organization
93.661,Federally Recognized Indian Tribal Governments
93.661,U.S. Territories
93.661,Small business
93.661,Profit organization
93.661,Private nonprofit institution/organization
93.661,Quasi-public nonprofit organization
93.661,Other private institution/organization
16.055,
19.019,Federal
19.019,Profit organization
19.019,Private nonprofit institution/organization
19.019,Public nonprofit institution/organization
19.019,Other public institution/organization
93.866,U.S. Territories
93.866,Small business
93.866,Profit organization
93.866,Private nonprofit institution/organization
93.866,Other private institution/organization
93.866,Native American Organizations
93.866,Student/Trainee
93.866,Graduate Student
93.866,Scientist/Researchers
93.866,State
93.866,U.S. Citizen
93.866,Local
93.866,Public nonprofit institution/organization
93.866,Other public institution/organization
93.866,Federally Recognized Indian Tribal Governments
16.021,U.S. Territories
16.021,Private nonprofit institution/organization
16.021,State
16.021,Local
16.021,Public nonprofit institution/organization
16.021,Other public institution/organization
16.021,Federally Recognized Indian Tribal Governments
97.067,U.S. Territories
97.067,State
97.067,Local
93.308,"Specialized group (e.g. health professionals, students, veterans)"
93.990,Anyone/general public
93.990,U.S. Citizen
93.990,Low Income
93.990,Other Urban
93.990,Rural
10.854,Local
10.854,Rural
12.600,State
12.600,Local
93.325,Individual/Family
16.048,
93.234,State
93.234,"Physically Afflicted (e.g. TB, Arthritis, Heart Disease)"
16.587,Minority group
16.587,Private nonprofit institution/organization
16.587,Native American Organizations
16.587,Federally Recognized Indian Tribal Governments
21.006,Senior Citizen (60+)
16.203,Individual/Family
16.203,Interstate
16.203,Intrastate
16.203,State
16.203,Local
84.019,Private nonprofit institution/organization
84.019,Education Professional
84.019,Student/Trainee
84.019,Graduate Student
84.019,Scientist/Researchers
84.019,U.S. Citizen
84.019,Education (13+)
84.019,Other public institution/organization
93.936,Scientist/Researchers
16.589,"Specialized group (e.g. health professionals, students, veterans)"
16.589,Private nonprofit institution/organization
16.589,Native American Organizations
16.589,Sponsored organization
16.589,Public nonprofit institution/organization
16.589,Other public institution/organization
16.589,Federally Recognized Indian Tribal Governments
10.755,
10.860,Profit organization
10.860,Private nonprofit institution/organization
10.860,Anyone/general public
96.007,Infant (0-5)
96.007,Child (6-15)
96.007,Youth (16-21)
96.007,Senior Citizen (60+)
96.007,Welfare Recipient
96.007,Pension Recipient
96.007,Moderate Income
96.007,Low Income
93.432,Individual/Family
93.432,"Disabled (e.g. Deaf, Blind, Physically Disabled)"
16.026,U.S. Territories
16.026,Minority group
16.026,"Specialized group (e.g. health professionals, students, veterans)"
16.026,Private nonprofit institution/organization
16.026,Native American Organizations
16.026,Health Professional
16.026,Scientist/Researchers
16.026,State
16.026,Local
16.026,Public nonprofit institution/organization
16.026,Other public institution/organization
16.026,Federally Recognized Indian Tribal Governments
11.400,Federal
11.400,State
11.400,Local
93.734,"Disabled (e.g. Deaf, Blind, Physically Disabled)"
93.734,Senior Citizen (60+)
11.804,Minority group
11.804,Profit organization
11.804,Industrialist/ Business person
11.804,Black
11.804,American Indian
11.804,Spanish Origin
11.804,Asian
11.804,Other Non-White
11.804,Federally Recognized Indian Tribal Governments
16.027,Native American Organizations
16.027,American Indian
16.027,Federally Recognized Indian Tribal Governments
16.019,American Indian
16.019,Federally Recognized Indian Tribal Governments
10.870,Small business
10.870,Small Business Person
10.870,U.S. Citizen
10.870,Rural
10.858,Rural
84.421,Individual/Family
84.421,"Disabled (e.g. Deaf, Blind, Physically Disabled)"
98.006,Private nonprofit institution/organization
98.006,Public nonprofit institution/organization
93.343,Youth (16-21)
10.574,"Specialized group (e.g. health professionals, students, veterans)"
10.574,Preschool
10.574,School
97.008,Private nonprofit institution/organization
97.008,Interstate
97.008,State
97.008,Local
10.871,Individual/Family
10.871,Minority group
10.871,"Specialized group (e.g. health professionals, students, veterans)"
10.871,Small business
10.871,Profit organization
10.871,Native American Organizations
10.871,Farmer/Rancher/Agriculture Producer
10.871,Industrialist/ Business person
10.871,Small Business Person
10.871,Consumer
10.871,Black
10.871,American Indian
10.871,Spanish Origin
10.871,Asian
10.871,Other Non-White
10.871,U.S. Citizen
10.871,Veteran/Service person/Reservist (including dependents
10.871,Women
10.871,"Disabled (e.g. Deaf, Blind, Physically Disabled)"
10.871,"Physically Afflicted (e.g. TB, Arthritis, Heart Disease)"
10.871,Mentally Disabled
10.871,Rural
97.075,Anyone/general public
97.075,Sponsored organization
16.889,Individual/Family
93.983,"Specialized group (e.g. health professionals, students, veterans)"
93.983,Anyone/general public
93.983,Health Professional
93.983,Sponsored organization
93.983,Public nonprofit institution/organization
10.859,State
10.859,Rural
10.771,Individual/Family
10.771,Minority group
10.771,"Specialized group (e.g. health professionals, students, veterans)"
10.771,Small business
10.771,Profit organization
10.771,Native American Organizations
10.771,Farmer/Rancher/Agriculture Producer
10.771,Industrialist/ Business person
10.771,Small Business Person
10.771,Consumer
10.771,Black
10.771,American Indian
10.771,Spanish Origin
10.771,Asian
10.771,Other Non-White
10.771,U.S. Citizen
10.771,Veteran/Service person/Reservist (including dependents
10.771,Women
10.771,"Disabled (e.g. Deaf, Blind, Physically Disabled)"
10.771,"Physically Afflicted (e.g. TB, Arthritis, Heart Disease)"
10.771,Mentally Disabled
10.771,Rural
32.003,State
32.003,Local
32.003,Public nonprofit institution/organization
32.003,Federally Recognized Indian Tribal Governments
32.003,U.S. Territories
32.003,Individual/Family
32.003,Small business
32.003,Profit organization
32.003,Private nonprofit institution/organization
32.003,Quasi-public nonprofit organization
32.003,Native American Organizations
32.003,School
32.003,Low Income
32.003,Rural
32.003,Interstate
32.003,Intrastate
32.003,Sponsored organization
32.003,Minority group
32.003,"Specialized group (e.g. health professionals, students, veterans)"
32.003,Other private institution/organization
32.003,Anyone/general public
32.003,Education Professional
32.003,Student/Trainee
32.003,Graduate Student
32.003,Scientist/Researchers
32.003,Artist/Humanist
32.003,Engineer/Architect
32.003,Builder/Contractor/Developer
32.003,Farmer/Rancher/Agriculture Producer
32.003,Industrialist/ Business person
32.003,Small Business Person
32.003,Consumer
32.003,Homeowner
32.003,Land/Property Owner
32.003,Black
32.003,American Indian
32.003,Spanish Origin
32.003,Asian
32.003,Other Non-White
32.003,Migrant
32.003,U.S. Citizen
32.003,Refugee/Alien
32.003,Veteran/Service person/Reservist (including dependents
32.003,Women
32.003,"Disabled (e.g. Deaf, Blind, Physically Disabled)"
32.003,"Physically Afflicted (e.g. TB, Arthritis, Heart Disease)"
32.003,Mentally Disabled
32.003,Drug Addict
32.003,Alcoholic
32.003,Juvenile Delinquent
32.003,Preschool
32.003,Infant (0-5)
32.003,Child (6-15)
32.003,Youth (16-21)
32.003,Senior Citizen (60+)
32.003,Unemployed
32.003,Welfare Recipient
32.003,Pension Recipient
32.003,Moderate Income
32.003,"Major Metropolis (over 250,000)"
32.003,Other Urban
32.003,Suburban
32.003,Education (0-8)
32.003,Education (9-12)
32.003,Education (13+)
12.614,State
12.614,Local
39.002,Anyone/general public
93.876,Federal
93.876,U.S. Territories
93.876,Minority group
93.876,"Specialized group (e.g. health professionals, students, veterans)"
93.876,Small business
93.876,Profit organization
93.876,Private nonprofit institution/organization
93.876,Quasi-public nonprofit organization
93.876,Other private institution/organization
93.876,Interstate
93.876,Native American Organizations
93.876,Health Professional
93.876,Education Professional
93.876,Student/Trainee
93.876,Graduate Student
93.876,Scientist/Researchers
93.876,Intrastate
93.876,Small Business Person
93.876,Black
93.876,American Indian
93.876,Spanish Origin
93.876,Asian
93.876,Other Non-White
93.876,State
93.876,Migrant
93.876,Local
93.876,Sponsored organization
93.876,Public nonprofit institution/organization
93.876,Other public institution/organization
93.876,Federally Recognized Indian Tribal Governments
97.044,U.S. Territories
97.044,"Specialized group (e.g. health professionals, students, veterans)"
97.044,State
97.044,Local
10.292,Federal
10.292,State
10.292,Local
10.292,Public nonprofit institution/organization
10.292,Other public institution/organization
10.292,Federally Recognized Indian Tribal Governments
10.292,Individual/Family
10.292,U.S. Territories
10.292,Minority group
10.292,"Specialized group (e.g. health professionals, students, veterans)"
10.292,Small business
10.292,Anyone/general public
10.292,Native American Organizations
10.292,Student/Trainee
10.292,Small Business Person
10.292,Consumer
10.417,Individual/Family
10.417,Homeowner
10.417,U.S. Citizen
10.417,Senior Citizen (60+)
10.417,Rural
93.788,U.S. Territories
93.788,State
93.788,Federally Recognized Indian Tribal Governments
93.788,Native American Organizations
10.867,Profit organization
85.200,"Specialized group (e.g. health professionals, students, veterans)"
85.200,Student/Trainee
85.200,Scientist/Researchers
85.200,Engineer/Architect
85.200,U.S. Citizen
85.200,Education (13+)
97.045,U.S. Territories
97.045,"Specialized group (e.g. health professionals, students, veterans)"
97.045,Small business
97.045,Private nonprofit institution/organization
97.045,Anyone/general public
97.045,State
97.045,Local
97.045,Federally Recognized Indian Tribal Governments
97.056,"Specialized group (e.g. health professionals, students, veterans)"
97.056,Private nonprofit institution/organization
11.034,Small Business Person
11.034,Black
11.034,American Indian
11.034,Asian
11.034,Small business
11.034,Minority group
93.041,Federal
93.041,Native American Organizations
93.041,Senior Citizen (60+)
93.285,"Specialized group (e.g. health professionals, students, veterans)"
93.285,Health Professional
93.285,Scientist/Researchers
10.782,Individual/Family
10.782,Minority group
10.782,"Specialized group (e.g. health professionals, students, veterans)"
10.782,Small business
10.782,Profit organization
10.782,Native American Organizations
10.782,Farmer/Rancher/Agriculture Producer
10.782,Industrialist/ Business person
10.782,Small Business Person
10.782,Consumer
10.782,Black
10.782,American Indian
10.782,Spanish Origin
10.782,Asian
10.782,Other Non-White
10.782,U.S. Citizen
10.782,Veteran/Service person/Reservist (including dependents
10.782,Women
10.782,"Disabled (e.g. Deaf, Blind, Physically Disabled)"
10.782,"Physically Afflicted (e.g. TB, Arthritis, Heart Disease)"
10.782,Mentally Disabled
10.782,Rural
93.835,Private nonprofit institution/organization
93.835,Other private institution/organization
93.835,Health Professional
93.835,Scientist/Researchers
93.835,Public nonprofit institution/organization
93.835,Other public institution/organization
11.478,Federal
11.478,U.S. Territories
11.478,Individual/Family
11.478,Minority group
11.478,"Specialized group (e.g. health professionals, students, veterans)"
11.478,Small business
11.478,Profit organization
11.478,Private nonprofit institution/organization
11.478,Quasi-public nonprofit organization
11.478,Other private institution/organization
11.478,Anyone/general public
11.478,Interstate
11.478,Native American Organizations
11.478,Education Professional
11.478,Student/Trainee
11.478,Graduate Student
11.478,Scientist/Researchers
11.478,Intrastate
11.478,Industrialist/ Business person
11.478,Small Business Person
11.478,Consumer
11.478,State
11.478,Local
11.478,School
11.478,Sponsored organization
11.478,Public nonprofit institution/organization
11.478,Other public institution/organization
11.478,Federally Recognized Indian Tribal Governments
16.566,"Specialized group (e.g. health professionals, students, veterans)"
16.566,Anyone/general public
93.982,Individual/Family
93.997,State
16.524,Individual/Family
16.524,"Specialized group (e.g. health professionals, students, veterans)"
16.524,Private nonprofit institution/organization
16.524,State
16.524,Public nonprofit institution/organization
16.524,Other public institution/organization
93.630,Individual/Family
93.630,"Disabled (e.g. Deaf, Blind, Physically Disabled)"
93.630,Mentally Disabled
98.011,Federal
98.011,Individual/Family
98.011,Private nonprofit institution/organization
98.011,Other private institution/organization
98.011,State
98.011,Local
98.011,Public nonprofit institution/organization
93.883,Federal
93.883,U.S. Territories
93.883,Individual/Family
93.883,Minority group
93.883,"Specialized group (e.g. health professionals, students, veterans)"
93.883,Small business
93.883,Profit organization
93.883,Private nonprofit institution/organization
93.883,Quasi-public nonprofit organization
93.883,Other private institution/organization
93.883,Anyone/general public
93.883,Interstate
93.883,Native American Organizations
93.883,Health Professional
93.883,Education Professional
93.883,Student/Trainee
93.883,Graduate Student
93.883,Scientist/Researchers
93.883,Artist/Humanist
93.883,Engineer/Architect
93.883,Builder/Contractor/Developer
93.883,Farmer/Rancher/Agriculture Producer
93.883,Intrastate
93.883,Industrialist/ Business person
93.883,Small Business Person
93.883,Consumer
93.883,Homeowner
93.883,Land/Property Owner
93.883,Black
93.883,American Indian
93.883,Spanish Origin
93.883,Asian
93.883,Other Non-White
93.883,State
93.883,U.S. Citizen
93.883,Refugee/Alien
93.883,Women
93.883,"Disabled (e.g. Deaf, Blind, Physically Disabled)"
93.883,"Physically Afflicted (e.g. TB, Arthritis, Heart Disease)"
93.883,Mentally Disabled
93.883,Drug Addict
93.883,Alcoholic
93.883,Local
93.883,Juvenile Delinquent
93.883,Preschool
93.883,School
93.883,Infant (0-5)
93.883,Child (6-15)
93.883,Youth (16-21)
93.883,Senior Citizen (60+)
93.883,Unemployed
93.883,Welfare Recipient
93.883,Pension Recipient
93.883,Sponsored organization
93.883,Moderate Income
93.883,Low Income
93.883,"Major Metropolis (over 250,000)"
93.883,Other Urban
93.883,Suburban
93.883,Rural
93.883,Education (0-8)
93.883,Education (9-12)
93.883,Education (13+)
93.883,Public nonprofit institution/organization
93.883,Other public institution/organization
93.883,Federally Recognized Indian Tribal Governments
93.882,Federal
93.882,U.S. Territories
93.882,Individual/Family
93.882,Minority group
93.882,"Specialized group (e.g. health professionals, students, veterans)"
93.882,Small business
93.882,Profit organization
93.882,Private nonprofit institution/organization
93.882,Quasi-public nonprofit organization
93.882,Other private institution/organization
93.882,Anyone/general public
93.882,Interstate
93.882,Native American Organizations
93.882,Health Professional
93.882,Education Professional
93.882,Student/Trainee
93.882,Graduate Student
93.882,Scientist/Researchers
93.882,Artist/Humanist
93.882,Engineer/Architect
93.882,Builder/Contractor/Developer
93.882,Farmer/Rancher/Agriculture Producer
93.882,Intrastate
93.882,Industrialist/ Business person
93.882,Small Business Person
93.882,Consumer
93.882,Homeowner
93.882,Land/Property Owner
93.882,Black
93.882,American Indian
93.882,Spanish Origin
93.882,Asian
93.882,Other Non-White
93.882,State
93.882,Migrant
93.882,U.S. Citizen
93.882,Refugee/Alien
93.882,Veteran/Service person/Reservist (including dependents
93.882,Women
93.882,"Disabled (e.g. Deaf, Blind, Physically Disabled)"
93.882,"Physically Afflicted (e.g. TB, Arthritis, Heart Disease)"
93.882,Mentally Disabled
93.882,Drug Addict
93.882,Alcoholic
93.882,Local
93.882,Juvenile Delinquent
93.882,Preschool
93.882,School
93.882,Infant (0-5)
93.882,Child (6-15)
93.882,Youth (16-21)
93.882,Senior Citizen (60+)
93.882,Unemployed
93.882,Welfare Recipient
93.882,Pension Recipient
93.882,Sponsored organization
93.882,Moderate Income
93.882,Low Income
93.882,"Major Metropolis (over 250,000)"
93.882,Other Urban
93.882,Suburban
93.882,Rural
