data.title,data.objective,data.programNumber,data.organizationId,data.description,l1ShortName,l1Name,l2Name
Appalachian Local Development District Assistance,To provide planning and development resources in multicounty areas; to help develop the technical competence essential to sound development assistance; and to meet the objectives stated under the program entitled Appalachian Regional Development (23.001).,23.009,100500155,,,APPALACHIAN REGIONAL COMMISSION,
Law Enforcement Assistance FBI Advanced Police Training,"To provide advanced training to experienced personnel of local, county, State, and selected Federal law enforcement agencies, with special emphasis on developing each graduate as a capable manager or administrator for his own department. To afford specialized advanced training to the above personnel.",16.300,100500172,,DOJ,"JUSTICE, DEPARTMENT OF",FEDERAL BUREAU OF INVESTIGATION
Japan-U.S. Friendship Commission Grants,"to promote educational, intellectual, artistic and cultural exchange and research between Japan and the United States.",90.300,300000054,,JUSFC,JAPAN-US FRIENDSHIP COMMISSION,
Denali Commission Program,"The Denali Commission is a Federal agency designed to provide funding and partner coordination for critical utilities and infrastructure projects throughout Alaska, particularly in distressed communities.",90.100,100114164,,DC,DENALI COMMISSION,
International Broadcasting Independent Grantee Organizations,"To promote freedom and democracy and enhance understanding through multimedia communication of accurate, objective, and balanced news, information, and other programming about America and the world to audiences overseas.",90.500,100012189,,BBG,"UNITED STATES AGENCY FOR GLOBAL MEDIA, BBG",
Equitable Sharing Program,"The Department of Justice Asset Forfeiture Program is a nationwide law enforcement initiative that removes the tools of crime from criminal organizations, deters crime and deprives wrongdoers of their criminal proceeds, and recovers property that may be used to compensate victims.  Equitable sharing further enhances the law enforcement mission by fostering cooperation among federal, state, and local law enforcement agencies.  Federal law authorizes the Attorney General to share federally forfeited property with participating state and local law enforcement agencies.  The exercise of this authority is discretionary and limited by statute.  The Attorney General is not required to share property in any case.  ",16.922,100122375,,DOJ,"JUSTICE, DEPARTMENT OF","OFFICES, BOARDS AND DIVISIONS"
National Historical Publications and Records Grants,"To undertake a wide-range of activities related to the preservation, publication, and use of documentary sources relating to the history of the United States.",89.003,100076449,,NARA,NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,
Export - Loan Guarantee/Insured Loans,"The Export-Import Bank of the United States (Ex-Im Bank or the Bank) is an independent executive agency and a wholly-owned U.S. government corporation. Ex-Im Bank is the official export-credit agency of the United States. Its mission is to support U.S. exports by providing export financing through its loan, guarantee and insurance programs in cases where the private sector is unable or unwilling to provide financing or when such support is necessary to level the playing field due to financing provided by foreign governments to their exporters that compete with U.S. exporters. By facilitating the financing of U.S. exports, Ex-Im Bank helps companies create and maintain U.S. jobs.",31.007,100140118,,EXIM,EXPORT-IMPORT BANK OF THE US,
Appalachian Development Highway System,"To provide a highway system which, in conjunction with other federally-aided highways, will open up areas with development potential within Appalachia where commerce and communication have been inhibited by lack of adequate access.",23.003,100500155,,,APPALACHIAN REGIONAL COMMISSION,
Appalachian Regional Development (See individual Appalachian Programs),"To help the regional economy become more competitive by putting in place the building blocks for self-sustaining economic development, while continuing to provide special assistance to the Region's most distressed counties and areas. This program focuses on activities which support ARC's mission to innovate, partner, and invest to build community capacity and strengthen economic growth in Appalachia. Activities funded must advance ARC's strategic plan.  Specific program goals are: (1) Invest in entrepreneurial and business development strategies that strengthen Appalachia's economy; (2) Increase the education, knowledge, skills, and health of residents to work and succeed in Appalachia; (3) Invest in critical infrastructure—especially broadband; transportation, including the Appalachian Development Highway System; and water/wastewater systems; (4) Strengthen Appalachia's community and economic development potential by leveraging the Region's natural and cultural heritage assets; and (5) Build the capacity and skills of current and next-generation leaders and organizations to innovate, collaborate, and advance community and economic development. Specific objectives were developed for each goal. Grants are made either directly by the Commission or grants may supplement other Federal grants.",23.001,100500155,,,APPALACHIAN REGIONAL COMMISSION,
Law Enforcement Assistance Narcotics and Dangerous Drugs Laboratory Analysis,"To provide technical assistance to dully constituted state, county, and municipal law enforcement agencies regarding specialized forensic examinations involving drug evidence.",16.001,100500171,,DOJ,"JUSTICE, DEPARTMENT OF",DRUG ENFORCEMENT ADMINISTRATION
National Council on Disability ,"NCD is an independent federal agency charged with advising the President, Congress, and other federal agencies regarding policies, programs, practices, and procedures that affect people with disabilities. NCD is comprised of a team of Presidential and Congressional appointees, an Executive Director and a full-time professional staff. NCD fulfills its advisory roles regarding disability policies, programs, procedures, and practices that enhance equal opportunity by: Convening stakeholders  to acquire timely and relevant input for recommendations and action steps; Gathering and analyzing data and other information; Engaging and influencing current debates and agendas; Identifying and formulating solutions to emerging and long-standing challenges; and providing tools to facilitate effective implementation.",92.002,100500208,,,National Council on Disability,
Law Enforcement Assistance FBI Crime Laboratory Support,"To provide forensic services to the FBI and any other duly constituted law enforcement agency; and provide technical and forensic assistance through research, training, technology transfer and access to information and forensic databases.",16.301,100500172,,DOJ,"JUSTICE, DEPARTMENT OF",FEDERAL BUREAU OF INVESTIGATION
Law Enforcement Assistance FBI Field Police Training,To develop the professional skills of criminal justice personnel.,16.302,100500172,,DOJ,"JUSTICE, DEPARTMENT OF",FEDERAL BUREAU OF INVESTIGATION
Law Enforcement Assistance Narcotics and Dangerous Drugs Technical Laboratory Publications,To disseminate scientific information on the detection and analysis of narcotics and dangerous drugs.,16.003,100500171,,DOJ,"JUSTICE, DEPARTMENT OF",DRUG ENFORCEMENT ADMINISTRATION
Corrections Technical Assistance/Clearinghouse,"To encourage and assist Federal, State, and local government programs and services, and programs and services of other public and private agencies, institutions, and organizations in their efforts to develop and implement improved corrections programs.  To assist and serve in a consulting capacity to Federal, State, and local courts, departments, and agencies in the development, maintenance, and coordination of programs, facilities, services, training, treatment, and rehabilitation with respect to criminal and juvenile offenders.",16.603,100015299,,DOJ,"JUSTICE, DEPARTMENT OF",FEDERAL PRISON SYSTEM / BUREAU OF PRISONS
Ebola Healthcare Preparedness and Response for Select Cities with Enhanced Airport Entrance Screenings from Affected Countries in West Africa,"To enable select public health departments serving regions where enhanced airport screenings are occurring to procure personal protective equipment and supplies, train staff, retrofit facilities, and carry out other necessary Ebola-specific preparedness, response, and recovery activities.",93.801,100004911,,HHS,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",IMMED OFFICE OF THE SECRETARY OF HEALTH AND HUMAN SERVICES
Policy Research and Evaluation Grants,"The goals of this listing are to improve the effectiveness of public policies that reduce poverty, inequality, and their consequences, promote economic mobility and equity, and further develop knowledge of the structural causes of poverty, inequality, and economic insecurity. To that end, the National Research Center on Poverty and Economic Mobility will: (1) develop a fellowship program that will place researchers on site at HHS to work with federal policy, research, and/or program offices, (2) administer a grant program that will make multiple awards to policy researchers to conduct research and analysis to answer high-priority questions related to equity, inclusion, diversity, and access in economic mobility and human services policy and programs, and (3) collaborate with HHS to disseminate actionable findings which are relevant to primarily federal policy and research communities through co-hosted events.",93.239,100004911,"HHS has a long history of supporting research and evaluation of critical and emerging social policy issues associated with the nature, causes, correlates, and consequences of poverty, inequality, income dynamics, individual and family functioning, and child well-being, and translating this research and evaluation into policy insights and action steps. Over the past five decades, HHS has funded Poverty Centers at multiple higher education institutions. HHS-funded Poverty Centers have historically conducted a broad program of research and evaluation; undertaken research coordination across government and academic institutions; identified and mentored emerging scholars; and developed and maintained networks for the dissemination of key policy-relevant results.

Substantively, the Poverty Center(s) funded through this program have informed policy discussions and development through analysis of poverty levels and trends; causes of poverty, inequality, and income instability; relevant national, regional and state economic contexts for families with low and otherwise unstable incomes; and government programs and policies affecting families struggling to make ends meet.

Under the current solicitation, we are seeking to continue many of the historical activities of the Poverty Centers, but with meaningful shifts in emphases, priorities and activities as described below. First, we seek for the National Research Center on Poverty and Economic Mobility to focus on research and shared insights that identify actionable opportunities to achieve equity in economic mobility policy and implementation. This solicitation defines equity as the consistent and systematic fair, just, and impartial treatment of all individuals, including individuals who belong to under-served communities that have been denied such treatment, such as Black, Latino, Indigenous and Native American persons, Asian Americans and Pacific Islanders and other persons of color; members of religious minorities; lesbian, gay, bisexual, transgender, and queer (LGBTQ+) persons; persons with disabilities; persons who live in rural areas; and persons otherwise adversely affected by persistent poverty or inequality. Under-served communities are populations sharing a particular characteristic, as well as geographic communities, that have been systematically denied a full opportunity to participate in aspects of economic, social, and civic life, as exemplified by the list in the preceding definition of equity. See also Executive Order 13985 Advancing Racial Equity and Support for Underserved Communities Through the Federal Government. Additionally, we expect the National Research Center on Poverty and Economic Mobility funded under this announcement to provide a greater emphasis on providing HHS with in-house data and policy research expertise, administration of research grants that meet the needs of HHS, and disseminating policy-relevant research through co-hosted events. We seek continued active and ongoing coordination and communication between researchers and policy makers, as well as targeted and effective dissemination of policy-focused findings and results. This new cooperative agreement replaces the current grant with the University of Wisconsin-Madison. There are no specific projects that must be continued from the current Poverty Center under this new award other than the continued administrative support of a current fellow through Spring 2020 as well as financial and administrative support of a fellow who will start work in the Administration for Children and Families, Office of Planning, Research & Evaluation (OPRE) around August 2021.",HHS,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",IMMED OFFICE OF THE SECRETARY OF HEALTH AND HUMAN SERVICES
Technical Assistance and Provision for Foreign Hospitals and Health Organizations,"To provide support for a quality of care improvement project based in a partner healthcare institution around the world, to provide continuing education and refresher training to physicians and other staff at hospitals and other Health Organizations around the world, and strengthen support and relations with Ministers of Public Health (MOPH).",93.019,100004911,,HHS,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",IMMED OFFICE OF THE SECRETARY OF HEALTH AND HUMAN SERVICES
BRIC: Building Resilient Infrastructure and Communities,"The Building Resilient Infrastructure and Communities (BRIC) program makes federal funds available to states, U.S territories, federally recognized tribal governments, and local communities for hazard mitigation activities. The guiding principles of the program are to (1) support state and local governments, tribes, and territories through capability- and capacity-building to enable them to identify mitigation actions and implement projects that reduce risks posed by natural hazards; (2) encourage and enable innovation while allowing flexibility, consistency, and effectiveness; (3) promote partnerships and enable high-impact investments to reduce risk from natural hazards with a focus on critical services and facilities, public infrastructure, public safety, public health, and communities; (4) provide a significant opportunity to reduce future losses and minimize impacts on the Disaster Relief Fund; (5) promote equity, including by helping members of overburdened and underservedvulnerable groups; and (6) support the adoption and enforcement of building codes, standards, and policies that will protect the health, safety, and general welfare of the public, take into account future conditions, prominently including the effects of climate change, and have long-lasting impacts on community risk reduction, including for critical services and facilities and for future disaster costs.

The FY 2022 Pre-Disaster Mitigation (PDM) Grant Program is to fund Congressional Community Projects for state, local, tribal, and territorial government efforts to plan for and implement sustainable cost-effective measures designed to reduce the risk to individuals and property from future natural hazards, while also reducing reliance on federal funding from future disasters.",97.047,100011943,"The Building Resilient Infrastructure and Communities (BRIC) and Pre-Disaster Mitigation (PDM) programs make federal funds available to states, U.S territories, federally recognized tribal governments, and local communities for hazard mitigation activities.",DHS,"HOMELAND SECURITY, DEPARTMENT OF",FEDERAL EMERGENCY MANAGEMENT AGENCY
Food and Drug Administration Research,"To assist institutions and organizations, to establish, expand, and improve research, demonstration, education and information dissemination activities; acquired immunodeficiency syndrome (AIDS), biologics, blood and blood products, therapeutics, vaccines and allergenic projects; drug hazards, human and veterinary drugs, clinical trials on drugs and devices for orphan products development; nutrition, sanitation and microbiological hazards; medical devices and diagnostic products, radiation emitting devices and materials; food safety and food additives. These programs are supported directly or indirectly by the following Centers and Offices:  Center for Biologics Evaluation and Research (CBER); Center for Drug Evaluation and Research (CDER); Center for Devices and Radiological Health (CDRH); Center for Veterinary Medicine (CVM), Center for Food Safety and Applied Nutrition (CFSAN), National Center for Toxicological Research (NCTR), the Office of Orphan Products Development (OPD), the Center for Tobacco Products (CTP), and Office of Regulatory Affairs (ORA), and the Office of the Commissioner (OC). Small Business Innovation Research (SBIR) Programs: to stimulate technological innovation; to encourage the role of small business to meet Federal research and development needs; to increase private sector commercialization of innovations derived from Federal research and development; and to foster and encourage participation by minority and disadvantaged persons in technological innovation.  Funding support for scientific conferences that are relevant to the FDA scientific mission and public health are also available.  ",93.103,100008023,,HHS,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",FOOD AND DRUG ADMINISTRATION
Partnership for Regional East Africa Counterterrorism (PREACT):,"The objective of this program is to build the capacity and resilience of military, law enforcement, and civilian actors across East Africa to degrade al-Shabaab, an al-Qaeda affiliate, defeat the Islamic State of Iraq and Syria (ISIS), and counter the threat of other violent extremist organizations.",19.980,300000190,"Current Fiscal Year: Projections 	PREACT CVE programs will build relationships between communities and governments in East Africa on issues that drive or exacerbate violent extremism.  Program goals will focus on institutional changes that support networks of citizens and their governments in four key areas:
•	Build collaboration, trust, and reporting mechanisms between citizens and civilian government officials and institutions, including, but not limited to, law enforcement;
•	Develop and implement strategies to rehabilitate and reintegrate defectors from VEOs;
•	Support women as effective peace and security leaders to prevent and respond to terrorist radicalization, including countering the role women play in violent extremism; and
•	Build cross-border networks of government and civil society actors who can identify and mitigate recruitment and radicalization to violence.",DOS,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF"
Foreign Affairs IT (FAIT) Fellowship,"Develop new Information Technology talent for the Department of State’s Foreign Service at the undergraduate and graduate level; individuals who are dedicated to pursuing Foreign Service careers, and can effectively “respond to the complex challenges of modern diplomacy and international relations,” particularly in the vital Information Technology realm.  The program seeks to attract and recruit highly talented and qualified candidates who represent the cultural, social, ethnic, racial, gender, and geographic diversity of the United States to a Foreign Service career in the U.S. Department of State through a program of educational support and professional development",19.205,100012062,"Develop new Information Technology talent for the Department of State’s Foreign Service at the undergraduate and graduate level; individuals who are dedicated to pursuing Foreign Service careers, and can effectively “respond to the complex challenges of modern diplomacy and international relations,” particularly in the vital Information Technology realm.  The program seeks to attract and recruit highly talented and qualified candidates who represent the cultural, social, ethnic, racial, gender, and geographic diversity of the United States to a Foreign Service career in the U.S. Department of State through a program of educational support and professional development",DOS,"STATE, DEPARTMENT OF",
State Appraiser Agency Support Grants,"To provide State Appraiser Regulatory Agencies with funds to advance the appraiser regulatory field, including, but not limited to, developing and attending trainings, improving appraiser credentialing and investigation and complaint processes, and expanding credentialing opportunities in under-served markets and other activities.",38.006,500049350,"These grants support State appraiser regulatory agencies, helping them to improve their processes to regulate and support home appraisers in their state and ensure high quality systems and programs.",,FEDERAL FINANCIAL INSTITUTIONS EXAMINATION COUNCIL APPRAISAL SUBCOMMITTEE,
Global Peace Operations Initiative ,"The GPOI program enhances international capacity to effectively conduct UN and regional peace operations.  International peace operations are strategically important to U.S. national security and foreign policy objectives.  They represent a cost-effective tool for managing conflict, supporting stabilization in some of the world’s most volatile regions, and facilitating peacebuilding efforts, enabling the international community to share the burden of maintaining peace and security.  The GPOI program is the primary mechanism through which the United States contributes to strengthening global capacity to conduct peace operations.  The program’s partnerships emphasize institutional capacity-building relationships and seek to strengthen partner countries’ capabilities to self-sufficiently train, deploy, employ, and sustain peacekeeping forces.  GPOI activities train and mentor partners to develop critical enabling and rapid deployment capabilities that are greatly needed and consistently requested to fill critical gaps in peace operations; increase the operational capacity of the UN and regional organizations to field more effective peace operations; and seek to develop and reinforce peacekeepers’ capabilities and commitment to protect civilians and promote the role of women in peace operations.",19.026,100012062,,DOS,"STATE, DEPARTMENT OF",
State Health Insurance Assistance Program ,"To provide information, counseling, and assistance relating to obtaining adequate and appropriate health insurance coverage to individuals eligible to receive benefits under the Medicare program.  

",93.324,100525875,,HHS,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",ADMINISTRATION FOR COMMUNITY LIVING (ACL)
Training and Technical Assistance for State Appraiser Regulatory Agencies,"The objectives of this federal assistance are to expand and provide training and technical assistance to agencies that regulate real estate appraisers in their states.  This includes curriculum development and training to increase professional competency in the management and regulation of appraiser programs and improvements/expansion of the appraiser and appraiser management company complaint processes, investigations, and enforcement activities.",38.008,500049350,,,FEDERAL FINANCIAL INSTITUTIONS EXAMINATION COUNCIL APPRAISAL SUBCOMMITTEE,
Enhance the Ability of Emergency Medical Services (EMS) to transport patients with highly infectious  diseases (HID),"Enhance state and local level emergency medical services operational plans for the management of confirmed or suspected high consequence infection disease, such as Ebola.   ",93.878,100004911,,HHS,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",IMMED OFFICE OF THE SECRETARY OF HEALTH AND HUMAN SERVICES
Law Enforcement Assistance Narcotics and Dangerous Drugs Training,"To acquaint appropriate professional and enforcement personnel with (1) techniques in the conduct of drug investigations; (2) aspects of physical security in legitimate drug distribution; (3) techniques in analysis of drugs for evidential purpose; (4) pharmacology, socio-psychological aspects of drug abuse, drug education, and; (5) management and supervisory training for drug unit Commanders.",16.004,100500171,,DOJ,"JUSTICE, DEPARTMENT OF",DRUG ENFORCEMENT ADMINISTRATION
Economic Development Support for Planning Organizations,"Through the Planning program, EDA provides assistance to eligible recipients to create regional economic development plans in order to stimulate and guide the economic development efforts of a community or region.  As part of this program, EDA supports Partnership Planning investments to facilitate the development, implementation, revision, or replacement of Comprehensive Economic Development Strategies (CEDS), which leverage the unique assets of their respective regions to help create and retain higher-skill, higher-wage jobs, particularly for the unemployed and underemployed in the Nation’s most economically distressed regions.  

To facilitate CEDS, EDA provides Partnership Planning grants to the designated planning organization (e.g., District Organization) serving EDA-designated Economic Development Districts (EDDs) throughout the Nation.  These planning organizations are typically recognized by the State in which they reside as multi-jurisdictional councils of governments, regional commissions, or planning and development centers.  Partnership Planning grants enable planning organizations to manage and coordinate the development and implementation of CEDS.  In addition, EDA provides Partnership Planning grants to Indian Tribes to help organize and assist with the implementation of economic development activities within their areas.  The majority of funding under the Planning program is for Partnership Planning grants for Indian Tribes and EDA-designated EDDs.

The Planning program also helps support planning organizations and other eligible recipients, including District Organizations and Indian Tribes, with Short-Term and State Planning efforts in order to stimulate and guide the creation and/or retention of higher-skill, higher-wage jobs, particularly for the unemployed and underemployed in the Nation’s most economically distressed regions.  For example, EDA might provide Short-Term Planning funding to a coalition of Tribal and regional organizations to plan a coordinated response to the sudden loss of a major employer in the affected area(s).
",11.302,100180147,,DOC,"COMMERCE, DEPARTMENT OF",ECONOMIC DEVELOPMENT ADMINISTRATION
Transition Assistance Program,"To provide employment instruction, information and assistance to separating and retiring military personnel and their spouses through domestic and overseas installations and or facilities by offering job search and other related services.",17.807,100115331,,DOL,"LABOR, DEPARTMENT OF",VETERANS EMPLOYMENT AND TRAINING SERVICES
"Special Programs for the Aging, Title IV, and Title II, Discretionary Projects","To support the development and testing of innovative programs, services and systems of support that respond to the needs of the nation’s growing elderly population and those individuals in need of long term services and supports (LTSS), to improve knowledge of the problems and needs of the elderly, to help ensure adequately trained personnel in the field of aging, and to demonstrate better ways of improving the quality of life for the elderly, their caregivers and people with disabilities.",93.048,100525875,"Each year, AoA/ACL issues multiple Funding Opportunity Announcements. The specific use of funds will vary across these multiple announcements. Depending on the specific program goals and objectives cited in an individual announcement, funds may be used for any one or more, but not necessarily all, of the following: (a) to demonstrate and/or replicate new or proven methods and practices to improve the quality and effectiveness of programs and services; (b) to ensure proven programs and approaches are replicated with fidelity to the original research (c) to evaluate new or existing programs and services; (d) to conduct applied research and analysis to improve access to and delivery of services; (e) to provide training and technical assistance to professionals in the field.",HHS,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",ADMINISTRATION FOR COMMUNITY LIVING (ACL)
Cyberspace and Digital Policy,"Build Connections by promoting investments in secure, diverse, and resilient ICT infrastructure. 

Advance an Open, Interoperable, Reliable, and Secure Internet by promoting inclusive, rights-respecting, multi-stakeholder models of internet governance and pro-competition, pro-innovation digital economy policies and regulations. 

Grow Global Markets for U.S. ICT goods and services, especially high-quality, interoperable, secure ICT equipment, software, and services. 

Enhance Cybersecurity by increasing adoption and implementation of cybersecurity best practices and enhancing partner capacity",19.665,300000191,,DOS,"STATE, DEPARTMENT OF",BUREAU OF ECONOMIC AND BUSINESS AFFAIRS
ASPR Science Preparedness and Response Grants,"To conduct preparedness and response research that will inform the ongoing response to, and recovery from disasters",93.081,100004911,,HHS,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",IMMED OFFICE OF THE SECRETARY OF HEALTH AND HUMAN SERVICES
