program_id,improper_payment_program_name,agency,fiscal_year,outlays,improper_payment_amount,start_date,end_date,insufficient_documentation_amount,slug
97.132,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2012,1472,0,,,,
97.132,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2013,1699,0,,,,
97.132,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2014,2001.49546351,0,,,,
97.132,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2015,1496.52,0,,,13.524,
97.132,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2016,658.63,0,,,0.41,
97.132,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2017,1280.1709,0,,,4.8644,
97.132,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2018,851.7723,0,,,3.7627,
97.132,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2019,0,0,,,,
97.132,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2020,0,0,,,,
97.132,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2021,0,0,,,0.0,
97.132,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2022,0,0,,,0.0,
97.133,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2004,0,0,,,,
97.133,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2005,0,0,,,,
97.133,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2006,0,0,,,,
97.133,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2007,0,0,,,,
97.133,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2008,0,0,,,,
97.133,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2009,1390,0,,,,
97.133,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2010,1300,0,,,,
97.133,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2011,1516,0,,,,
97.133,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2012,1472,0,,,,
97.133,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2013,1699,0,,,,
97.133,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2014,2001.49546351,0,,,,
97.133,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2015,1496.52,0,,,13.524,
97.133,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2016,658.63,0,,,0.41,
97.133,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2017,1280.1709,0,,,4.8644,
97.133,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2018,851.7723,0,,,3.7627,
97.133,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2019,0,0,,,,
97.133,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2020,0,0,,,,
97.133,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2021,0,0,,,0.0,
97.133,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2022,0,0,,,0.0,
97.134,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2004,0,0,,,,
97.134,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2005,0,0,,,,
97.134,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2006,0,0,,,,
97.134,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2007,0,0,,,,
97.134,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2008,0,0,,,,
97.134,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2009,1390,0,,,,
97.134,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2010,1300,0,,,,
97.134,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2011,1516,0,,,,
97.134,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2012,1472,0,,,,
97.134,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2013,1699,0,,,,
97.134,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2014,2001.49546351,0,,,,
97.134,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2015,1496.52,0,,,13.524,
97.134,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2016,658.63,0,,,0.41,
97.134,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2017,1280.1709,0,,,4.8644,
97.134,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2018,851.7723,0,,,3.7627,
97.134,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2019,0,0,,,,
97.134,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2020,0,0,,,,
97.134,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2021,0,0,,,0.0,
97.134,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2022,0,0,,,0.0,
97.137,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2004,0,0,,,,
97.137,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2005,0,0,,,,
97.137,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2006,0,0,,,,
97.137,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2007,0,0,,,,
97.137,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2008,0,0,,,,
97.137,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2009,1390,0,,,,
97.137,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2010,1300,0,,,,
97.137,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2011,1516,0,,,,
97.137,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2012,1472,0,,,,
97.137,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2013,1699,0,,,,
97.137,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2014,2001.49546351,0,,,,
97.137,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2015,1496.52,0,,,13.524,
97.137,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2016,658.63,0,,,0.41,
97.137,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2017,1280.1709,0,,,4.8644,
97.137,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2018,851.7723,0,,,3.7627,
97.137,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2019,0,0,,,,
97.137,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2020,0,0,,,,
97.137,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2021,0,0,,,0.0,
97.137,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2022,0,0,,,0.0,
97.102,Federal Emergency Management Agency - Case Management,DHS,2025,,,,,,
97.009,United States Citizenship and Immigration Services - Operation Allies Welcome Airport Assistance Grant,DHS,2025,,,,,,
97.067,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2004,0,0,,,,
97.067,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2005,0,0,,,,
97.067,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2006,0,0,,,,
97.067,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2007,0,0,,,,
97.067,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2008,0,0,,,,
97.067,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2009,1390,0,,,,
97.067,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2010,1300,0,,,,
97.067,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2011,1516,0,,,,
97.067,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2012,1472,0,,,,
97.067,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2013,1699,0,,,,
97.067,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2014,2001.49546351,0,,,,
97.067,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2015,1496.52,0,,,13.524,
97.067,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2016,658.63,0,,,0.41,
97.067,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2017,1280.1709,0,,,4.8644,
97.067,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2018,851.7723,0,,,3.7627,
97.067,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2019,0,0,,,,
97.067,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2020,0,0,,,,
97.067,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2021,0,0,,,0.0,
97.067,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2022,0,0,,,0.0,
97.127,Cybersecurity and Infrastructure Security Agency - Cyber Defense Education and Training,DHS,2025,,,,,,
97.120,Cybersecurity and Infrastructure Security Agency - Emergency Communications,DHS,2025,,,,,,
97.123,Cybersecurity and Infrastructure Security Agency - Joint Cyber Defense Collaborative,DHS,2025,,,,,,
97.128,Cybersecurity and Infrastructure Security Agency - Stakeholder Engagement,DHS,2025,,,,,,
97.077,Countering Weapons of Mass Destruction Office - Federal Assistance,DHS,2021,0,0,,,0.0,
97.077,Countering Weapons of Mass Destruction Office - Federal Assistance,DHS,2022,0,0,,,0.0,
97.091,Countering Weapons of Mass Destruction Office - Homeland Security Biowatch Program,DHS,2025,,,,,,
97.106,Countering Weapons of Mass Destruction Office - Securing the Cities Program,DHS,2025,,,,,,
97.022,Federal Emergency Management Agency - Flood Hazard Map and Risk Analysis Program,DHS,2012,0,0,,,,
97.022,Federal Emergency Management Agency - Flood Hazard Map and Risk Analysis Program,DHS,2013,0,0,,,,
97.022,Federal Emergency Management Agency - Flood Hazard Map and Risk Analysis Program,DHS,2014,0,0,,,,
97.022,Federal Emergency Management Agency - Flood Hazard Map and Risk Analysis Program,DHS,2015,131,0,,,9.97,
97.022,Federal Emergency Management Agency - Flood Hazard Map and Risk Analysis Program,DHS,2016,111.52,0,,,0.1,
97.022,Federal Emergency Management Agency - Flood Hazard Map and Risk Analysis Program,DHS,2017,132.0186,0,,,4.13303022,
97.022,Federal Emergency Management Agency - Flood Hazard Map and Risk Analysis Program,DHS,2018,144.1581,0,,,0.0349,
97.022,Federal Emergency Management Agency - Flood Hazard Map and Risk Analysis Program,DHS,2019,174.90650382,0.00930857,2017-10-01,2018-09-01,0.0,
97.022,Federal Emergency Management Agency - Flood Hazard Map and Risk Analysis Program,DHS,2020,0,0,,,,
97.022,Federal Emergency Management Agency - Flood Hazard Map and Risk Analysis Program,DHS,2021,0,0,,,0.0,
97.022,Federal Emergency Management Agency - Flood Hazard Map and Risk Analysis Program,DHS,2022,0,0,,,0.0,
97.044,Federal Emergency Management Agency - Assistance to Firefighter Grants,DHS,2004,0,0,,,,
97.044,Federal Emergency Management Agency - Assistance to Firefighter Grants,DHS,2005,0,0,,,,
97.044,Federal Emergency Management Agency - Assistance to Firefighter Grants,DHS,2006,0,0,,,,
97.044,Federal Emergency Management Agency - Assistance to Firefighter Grants,DHS,2007,0,0,,,,
97.044,Federal Emergency Management Agency - Assistance to Firefighter Grants,DHS,2008,0,0,,,,
97.044,Federal Emergency Management Agency - Assistance to Firefighter Grants,DHS,2009,505,0,,,,
97.044,Federal Emergency Management Agency - Assistance to Firefighter Grants,DHS,2010,429,0,,,,
97.044,Federal Emergency Management Agency - Assistance to Firefighter Grants,DHS,2011,385,0,,,,
97.044,Federal Emergency Management Agency - Assistance to Firefighter Grants,DHS,2012,471,0,,,,
97.044,Federal Emergency Management Agency - Assistance to Firefighter Grants,DHS,2013,425,0,,,,
97.044,Federal Emergency Management Agency - Assistance to Firefighter Grants,DHS,2014,336,0,,,,
97.044,Federal Emergency Management Agency - Assistance to Firefighter Grants,DHS,2015,224.9,0,,,0.178,
97.044,Federal Emergency Management Agency - Assistance to Firefighter Grants,DHS,2016,270.91,0,,,,
97.044,Federal Emergency Management Agency - Assistance to Firefighter Grants,DHS,2017,299.1566,0,,,0.2581,
97.044,Federal Emergency Management Agency - Assistance to Firefighter Grants,DHS,2018,306.4698,0,,,3.4667,
97.044,Federal Emergency Management Agency - Assistance to Firefighter Grants,DHS,2019,0,0,,,,
97.044,Federal Emergency Management Agency - Assistance to Firefighter Grants,DHS,2020,0,0,,,,
97.044,Federal Emergency Management Agency - Assistance to Firefighter Grants,DHS,2021,0,0,,,0.0,
97.044,Federal Emergency Management Agency - Assistance to Firefighter Grants,DHS,2022,0,0,,,0.0,
97.044,Federal Emergency Management Agency - Assistance to Firefighter Grants: Fire Prevention Program,DHS,2021,0,0,,,0.0,
97.044,Federal Emergency Management Agency - Assistance to Firefighter Grants: Fire Prevention Program,DHS,2022,0,0,,,0.0,
97.083,Federal Emergency Management Agency - Assistance to Firefighter Grants: Staffing for Adequate Fire and Emergency Response Program,DHS,2021,0,0,,,0.0,
97.083,Federal Emergency Management Agency - Assistance to Firefighter Grants: Staffing for Adequate Fire and Emergency Response Program,DHS,2022,0,0,,,0.0,
97.047,Federal Emergency Management Agency - Building Resilient Infrastructure and Communities Grants,DHS,2025,,,,,,
97.088,Federal Emergency Management Agency - Disaster Case Management,DHS,2012,0,0,,,,
97.088,Federal Emergency Management Agency - Disaster Case Management,DHS,2013,0,0,,,,
97.088,Federal Emergency Management Agency - Disaster Case Management,DHS,2014,4.3,0,,,,
97.088,Federal Emergency Management Agency - Disaster Case Management,DHS,2015,0,0,,,,
97.088,Federal Emergency Management Agency - Disaster Case Management,DHS,2016,0,0,,,,
97.088,Federal Emergency Management Agency - Disaster Case Management,DHS,2017,0,0,,,,
97.088,Federal Emergency Management Agency - Disaster Case Management,DHS,2018,0,0,,,,
97.088,Federal Emergency Management Agency - Disaster Case Management,DHS,2019,0,0,,,,
97.088,Federal Emergency Management Agency - Disaster Case Management,DHS,2020,0,0,,,,
97.088,Federal Emergency Management Agency - Disaster Case Management,DHS,2021,0,0,,,0.0,
97.088,Federal Emergency Management Agency - Disaster Case Management,DHS,2022,0,0,,,0.0,
97.024,Federal Emergency Management Agency - Emergency Food & Shelter Program,DHS,2004,0,0,,,,
97.024,Federal Emergency Management Agency - Emergency Food & Shelter Program,DHS,2005,0,0,,,,
97.024,Federal Emergency Management Agency - Emergency Food & Shelter Program,DHS,2006,0,0,,,,
97.024,Federal Emergency Management Agency - Emergency Food & Shelter Program,DHS,2007,0,0,,,,
97.024,Federal Emergency Management Agency - Emergency Food & Shelter Program,DHS,2008,0,0,,,,
97.024,Federal Emergency Management Agency - Emergency Food & Shelter Program,DHS,2009,0,0,,,,
97.024,Federal Emergency Management Agency - Emergency Food & Shelter Program,DHS,2010,0,0,,,,
97.024,Federal Emergency Management Agency - Emergency Food & Shelter Program,DHS,2011,201,0,,,,
97.024,Federal Emergency Management Agency - Emergency Food & Shelter Program,DHS,2012,45.2,0,,,,
97.024,Federal Emergency Management Agency - Emergency Food & Shelter Program,DHS,2013,89,0,,,,
97.024,Federal Emergency Management Agency - Emergency Food & Shelter Program,DHS,2014,118.645,0,,,,
97.024,Federal Emergency Management Agency - Emergency Food & Shelter Program,DHS,2015,0,0,,,,
97.024,Federal Emergency Management Agency - Emergency Food & Shelter Program,DHS,2016,0,0,,,,
97.024,Federal Emergency Management Agency - Emergency Food & Shelter Program,DHS,2017,0,0,,,,
97.024,Federal Emergency Management Agency - Emergency Food & Shelter Program,DHS,2018,0,0,,,,
97.024,Federal Emergency Management Agency - Emergency Food & Shelter Program,DHS,2019,0,0,,,,
97.024,Federal Emergency Management Agency - Emergency Food & Shelter Program,DHS,2020,0,0,,,,
97.024,Federal Emergency Management Agency - Emergency Food & Shelter Program,DHS,2021,0,0,,,0.0,
97.024,Federal Emergency Management Agency - Emergency Food & Shelter Program,DHS,2022,0,0,,,0.0,
