PON ID,Category Code,Category,FA Code,Focus Area,PON2,PON Definition
T17,E#,Cultural Affairs,E.FA4,Cultural Institutions,Increase Utilization of Educational and Cultural Facilities,"A beneficiary demonstrated one or more of the following results within the past year: -Visits to museums, libraries, parks, or community learning spaces; -Utilization of free resources (e.g., checking out books from a library, etc.); -Enrollment in membership programs at cultural and educational facilities; -Diminution of any known utilization gaps. "
T125,S#,Science and Technology,S.FA1,General Science and Basic Research,Improve Foundational Research in the Biological Sciences,"A beneficiary achieved one or more of the following results within the past year: -Developed new insights or findings in the field through scientific or empirical research; - Published findings of completed research projects; -Citation impact of published findings; -Established knowledge management systems or datasets that enable innovation by creating, retaining, or transferring knowledge; -Applied  research findings to develop new tools, frameworks, or practices that advance the field; -Increased intellectual property filings (e.g., patents, licenses) resulting from foundation research; -Upgraded research facilities or labs."
T124,B#,Business and Commerce,B.FA1,Business Development,"Improve Foundational Research in Social, Behavioral and Economic Sciences","A beneficiary demonstrated one or more of the following results within the past year: -Development of new insights in the field through scientific or empirical research; -Publication of research projects; -Knowledge management systems including systems for creating, retaining and transferring knowledge to enable innovation; -Application of research findings to develop new tools, frameworks, or practices that advance the field;"
T123,S#,Science and Technology,S.FA1,General Science and Basic Research,Improve Foundational Research in Mathematical and Physical Sciences,"A beneficiary achieved one or more of the following results within the past year: -Developed new insights or findings in the field through scientific or empirical research; -Published findings of completed research projects; -Citation impact of published findings; -Established knowledge management systems or datasets that enable innovation by creating, retaining, or transferring knowledge; -Applied research findings to develop new tools, frameworks, or practices that advance the field; -Increased intellectual property filings (e.g., patents, licenses) resulting from foundation research; -Upgraded research facilities or labs."
T122,S#,Science and Technology,S.FA1,General Science and Basic Research,Improve Foundational Research in Geosciences,"A beneficiary achieved one or more of the following results within the past year: -Developed new insights or findings in the field through scientific or empirical research; -Published findings of completed research projects; -Citation impact of published findings; -Established knowledge management systems or datasets that enable innovation by creating, retaining, or transferring knowledge; -Applied research findings to develop new tools, frameworks, or practices that advance the field; -Increased intellectual property filings (e.g., patents, licenses) resulting from foundation research; -Upgraded research facilities or labs."
T121,S#,Science and Technology,S.FA1,General Science and Basic Research,Improve Foundational Research in Engineering,"A beneficiary achieved one or more of the following results within the past year: -Developed new insights or findings in the field through scientific or empirical research; -Published findings of completed research projects; -Citation impact of published findings; -Established knowledge management systems or datasets that enable innovation by creating, retaining, or transferring knowledge; -Applied research findings to develop new tools, frameworks, or practices that advance the field; -Increased intellectual property filings (e.g., patents, licenses) resulting from foundation research; -Upgraded research facilities or labs. "
T120,S#,Science and Technology,S.FA1,General Science and Basic Research,Improve Foundational Research in Computer and Information Science and Engineering,"A beneficiary achieved one or more of the following results within the past year: -Developed new insights or findings in the field through scientific or empirical research; -Published findings of completed research projects; -Citation impact of published findings; -Established knowledge management systems or datasets that enable innovation by creating, retaining, or transferring knowledge; -Applied research findings to develop new tools, frameworks, or practices that advance the field; -Increased intellectual property filings (e.g., patents, licenses) resulting from foundation research; -Upgraded research facilities or labs."
T1,D#,Consumer Protection,D.FA1,Consumer and Occupational Health and Safety,Improve Production Operations and Oversight',"A beneficiary demonstrated one or more of the following results within the past year: -Improved transparency in labeling and marketing; -Increased adherence to safety and compliance measures (e.g., inspections, adherence to regulations)."
N9,B#,Business and Commerce,B.FA2,Economic Development,Increase Adherence to Labor Rights and Fair Trade Regulations,"A beneficiary attained one or more of the following results: -Demonstrated adherence to applicable trade laws, customs regulations, and labor standards in their operations; -Participated in training or technical assistance to improve compliance with international labor rights; -Adopted internal monitoring or reporting mechanisms to verify ongoing compliance with labor and wage standards."
N8,B#,Business and Commerce,B.FA2,Economic Development,Improve Compliance with Trade Standards and Metrology Practices,"A beneficiary attained one or more of the following results: -Accessed accurate, up-to-date information on standards, certification requirements, and metrology practices relevant to their industry; -Implemented systems or practices to ensure accuracy in product quantities, weights, and measures in commercial transactions; -Applied national or international measurement standards in product labeling and trade activities."
N74,L#,Health,L.FA5,Healthcare Quality and Delivery,Increase Capacity of Healthcare Workforce,"A beneficiary demonstrated one or more of the following results within the past year: -Achievement of credentials or meaningful certifications related to medicine or healthcare; -Improved knowledge, skills, and competencies for healthcare; -Completion of internships, apprenticeships, volunteer opportunities, or fellowship positions that are aligned with medical and healthcare fields."
N73,I#,Energy,I.FA1,Energy Supply,Expand Domestic Energy Production,A beneficiary demonstrated one or more of the following results in the past year: -New or increased energy output produced domestically; -Energy connected to the domestic energy grid and/or made available for end-use consumption.
N70,L#,Health,L.FA3,Healthcare Access,Reduce Costs of Prescription Drugs,"A beneficiary attained one or more of the following results within the past year: -Accessed prescription medications at a reduced cost through insurance coverage, subsidies, or negotiated pricing; -Maintained access to prescribed treatments without delays or reductions in quality."
N69,L#,Health,L.FA3,Healthcare Access,Reduce Costs of Healthcare Services,"A beneficiary attained one or more of the following results within the past year: -Accessed clear, publicly available information on the cost of healthcare services prior to receiving care; -Selected healthcare providers or services based on transparent pricing and quality information; -Received medical care at a lower cost without reduction in quality."
N68,L#,Health,L.FA3,Healthcare Access,Increase Affordable Health Coverage,"A beneficiary attained one or more of the following results within the past year: -Enrolled in a health plan with coverage that includes essential health benefits; -Enrolled in a health plan with affordable premiums and cost-sharing, including protections against excessive out-of-pocket spending."
N66,2025#IA,International Affairs,IA.FA1,International Relations and Foreign Affairs,Facilitate International Infrastructure and Development Projects,"A beneficiary achieved one or more of the following results within the past year: -Supported the design, construction, or improvement of public infrastructure in partner nations; -Increased community access to essential services such as transportation, markets, or utilities."
N63,2025#IA,International Affairs,IA.FA1,International Relations and Foreign Affairs,Cultivate International Cultural Partnerships,"A beneficiary demonstrated one or more of the following results within the past year: -Organized or supported cultural festivals, exhibitions, or events to encourage cultural exchange; -Increased public participation in bilateral cultural initiatives; -Increased cultural competency, empathy, or ability to understand different perspectives."
N61,2025#IA,International Affairs,IA.FA1,International Relations and Foreign Affairs,Provide Support for Displaced and Refugee Populations,"A beneficiary attained one or more of the following results within the past year: -Temporary housing, healthcare, or education for displaced persons or refugees; -Participated in programs to assist in social integration and skills development. "
N6,F#,Disaster Prevention and Relief,F.FA1,"Disaster Readiness, Response, and Relief",Increase Community Education on Disaster Preparedness,"A beneficiary demonstrated one or more of the following results within the past year: -Delivered disaster preparedness and mitigation training to targeted households, agencies, or local organizations; -Established or updated a community disaster plan covering at least three major hazard types (e.g., flood, wildfire, cyber incident); -Created or expanded partnerships with local agencies, nonprofits, or volunteer networks to create awareness, educate community at-large, and enhance readiness.  "
N58,2025#IA,International Affairs,IA.FA1,International Relations and Foreign Affairs,Support International Research Collaboration,"A beneficiary demonstrated one or more of the following results within the past year: -Hosted or co-hosted conferences, workshops, or online forums with foreign academic institutions; -Created digital repositories or platforms for international knowledge sharing."
N56,2025#IA,International Affairs,IA.FA1,International Relations and Foreign Affairs,Support International Academic Partnerships,"A beneficiary attained one or more of the following results within the past year: -Established or renewed formal agreements for research and educational collaboration with foreign institutions; -Supported joint academic projects, shared curricula, or collaborative publications."
N54,P#,"Law, Justice, and Legal Services",P.FA6,Domestic Threats and Hazards,Restore Infrastructure Following Security Incidents,"A beneficiary demonstrated one or more of the following results within the past year: -Sustained or expanded the ability to produce, repair, or replace critical infrastructure components after a disruption; -Maintained readiness of personnel, facilities, and equipment to perform restoration work within an acceptable response timeframe; -Improved the speed or effectiveness of post-incident infrastructure recovery."
N52,P#,"Law, Justice, and Legal Services",P.FA6,Domestic Threats and Hazards,Harden Critical Infrastructure Against Security Threats,"A beneficiary achieved one or more of the following results within the past year: -Completed construction, reconstruction, or upgrades that enhance protection against identified threats; -Installed or improved access control, surveillance, or physical barrier systems covering critical entry points; -Experienced no successful unauthorized intrusions into secured facilities."
N50,2025#ND,National Defense,ND.FA1,Defense Capability,Improve Military Equipment and Facilities,"A beneficiary attained one or more of the following results within the past year: -Conducted maintenance, repair, or servicing activities to ensure operational availability or modernization of military equipment and vehicles; -Maintained or improved infrastructure essential to military operations, including facilities; -Ensured provisioning of necessary materials and equipment to support ongoing missions and training."
N45,P#,"Law, Justice, and Legal Services",P.FA5,Cybersecurity,Increase Cybersecurity Awareness and Information Sharing,A beneficiary achieved one or more of the following results within the past year: -Decreased time from cyber threat intelligence identification or detection to dissemination within and across entities; -Increased awareness of cybersecurity risks and best practices among staff and partners; -Implemented new or updated existing systems for distributing cybersecurity threat information; -Led initiatives to foster a culture of cybersecurity preparedness and resilience.
N44,P#,"Law, Justice, and Legal Services",P.FA5,Cybersecurity,Improve Cybersecurity Controls and Risk Management,A beneficiary achieved one or more of the following results within the past year: -Implemented comprehensive cybersecurity measures to reduce system vulnerabilities; -Conducted systematic risk assessments and prioritized mitigation of cyber threats; -Maintained governance structures to ensure continuous evaluation and enhancement of cybersecurity.
N42,P#,"Law, Justice, and Legal Services",P.FA4,Border Security,Reduce Illegal Importation and Trafficking of Goods,A beneficiary achieved one or more of the following results within the past year: -Increased seizure rate of illicit goods or contraband; -Disrupted or dismantled trafficking networks.
N41,P#,"Law, Justice, and Legal Services",P.FA4,Border Security,"Enhance Border Surveillance, Infrastructure, and Capacity","A beneficiary achieved one or more of the following results within the past year: -Increased coverage area (measured in miles) by deploying new surveillance and monitoring systems; -Upgraded existing surveillance and monitoring coverage; -Improved process for integrating surveillance data into enforcement operations; -Increased miles of border protected by infrastructure through new construction, repairs, or upgrades; -Increased staffing, training, or operational resources for border enforcement personnel."
N40,P#,"Law, Justice, and Legal Services",P.FA1,Law Enforcement Support,Prevent and Respond to Human Trafficking and Exploitation,"A beneficiary achieved one or more of the following results within the past year: -Accessed prevention, early intervention, or victim support services for individuals at risk of or affected by human trafficking; -Participated in efforts to identify, protect, and assist trafficking victims through coordinated outreach and services; -Supported programs that disrupt trafficking networks and reduce victimization."
N38,P#,"Law, Justice, and Legal Services",P.FA4,Border Security,Improve Immigration Enforcement and Lawful Pathways to Citizenship,"A beneficiary achieved one or more of the following results within the past year: -Increased identification, detention, or processing of noncitizens engaged in criminal activity; -Increased processing times for refugee vetting, placement, and lawful admission procedures in compliance with immigration law; -Offered approved citizenship preparation courses, civic integration, and legal status maintenance resources as a lawful permanent resident; -Increased employment verification rates required by law; -Supported modernization efforts of visa tracking systems."
N37,P#,"Law, Justice, and Legal Services",P.FA1,Law Enforcement Support,Improve Victim Support Services,"A beneficiary attained one or more of the following results within the past year: -Advocacy, counseling, or legal assistance, including legal representation or accompaniment during justice system proceedings; -Disseminated approved guidance on victims' rights, justice processes, and available protections; -Provided financial assistance or compensation for crime-related expenses; -Connected eligible individuals with available community services."
N36,P#,"Law, Justice, and Legal Services",P.FA1,Law Enforcement Support,Increase Law Enforcement Operational Capacity,"A beneficiary achieved one or more of the following within the past year: -Acquired or upgraded mission-critical equipment, technology, or data systems; -Participated in specialized training, simulations, or certification programs; -Implemented improved operational protocols or procedures."
N35,P#,"Law, Justice, and Legal Services",P.FA1,Law Enforcement Support,Improve Interagency Coordination and Information Sharing,"A beneficiary achieved one or more of the following results within the past year: -Increased utilization rate of shared communication platforms, databases, or reporting systems; -Conducted or participated in joint training, exercises, or operational protocols; -Participated in multi-agency task forces or formalized partnerships; -Decreased dissemination times for law enforcement information sharing with other federal, state, or local law enforcement partners. "
N29,Q#,Natural Resources,Q.FA1,Conservation and Land Management,Improve Forestry and Land Stewardship,"A beneficiary achieved one or more of the following results within the past year: -Increased acres of forest or lands restored, reforested, or treated (e.g., controlled burns, invasive species removal); -Increased acres under sustainable forestry or land management plans; -Increased tree diversity, regeneration rates, or understory habitat; -Acres treated with wildfire risk management practices. "
N28,J#,Environmental Quality,J.FA1,Pollution Control and Abatement,Advance Environmental Science Research,"A beneficiary demonstrated one or more of the following results within the past year: -Conducted research that deepens understanding of natural resources, ecosystems, or environmental quality; -Developed or tested practical solutions, technologies, or management practices to protect, restore, or sustainably use land, water, air, or wildlife resources."
N27,Q#,Natural Resources,Q.FA1,Conservation and Land Management,Increase Sustainable Management of Natural Resources,"A beneficiary achieved one or more of the following results within the past year: -Increased application of resource management practices that balance human use with conservation, such as rotational harvesting, selective logging, or controlled grazing; -Reduced depletion or degradation of natural resources such as soil erosion, timber, or minerals; -Increased participation rate of local communities, landowners, or industries in resource stewardship initiatives."
N26,Q#,Natural Resources,Q.FA1,Conservation and Land Management,Improve Wildlife Population and Habitat Conservation,"A beneficiary achieved one or more of the following results within the past year: -Increased in number of wildlife species or habitats restored or maintained; -Increased % of at-risk species stabilized; -Increased biodiversity (e.g., species counts, habitat improvements, threatened species reduced); -Increased economic value of lands through multi-use planning, recreational access, or conservation agreements; -Increased acreage enrolled in conservation agreements."
N23,A#,Agricultural,A.FA2,Farm Income Stabilization,Improve Agricultural Risk Resilience,"A beneficiary attained one or more of the following results within the past year: -Targeted incentives to safeguard operations against unexpected disruptions; -Reduced vulnerability to market fluctuations, extreme weather events, pest outbreaks, or supply shortages through risk assessment and mitigation planning; -Maintained stable production levels and revenue streams despite operational challenges."
N22,A#,Agricultural,A.FA1,Agricultural Resources and Services,Advance Research for Agricultural Practices,"A beneficiary demonstrated one or more of the following results within the past year: -Conducted applied research on sustainable farming techniques, crop yield optimization, pest and disease management, or resiliency; -Developed or tested new agricultural technologies, tools, or methods with demonstrated potential for adoption in farming systems; -Published or disseminated research findings that inform agricultural policy or practices."
N21,G#,Education,G.FA5,STEM Education,Improve STEM Education,"A beneficiary demonstrated one or more of the following results within the past year: -Use of best practice teaching methods for STEM education; -Engagement in professional development related to STEM education (e.g., obtaining relevant new certifications or recertifications; attending classes, trainings, or professional teaching conferences); -Recruitment of high-quality STEM educators; -Investment in STEM pedagogy at universities and colleges. "
N20,G#,Education,G.FA5,STEM Education,Expand Access to STEM Learning Opportunities ,"A beneficiary demonstrated one or more of the following results within the past year: -Increased the number of STEM offerings (courses, programs, extracurriculars, or resources); -Increased the enrollment or participation capacity of existing STEM offerings; -Decreased barriers to participation (e.g., reduced costs, increased geographic reach, increased frequency); -Increased engagement and dissemination efforts (e.g., recruitment, advertising, outreach)."
N2,F#,Disaster Prevention and Relief,F.FA1,"Disaster Readiness, Response, and Relief",Maintain Essential Public Utility Operations During Emergencies,"A beneficiary demonstrated one or more of the following results within the past year: -Sustained continuous operation of essential services (e.g., water, electricity, communications) during at least one disaster or emergency event; -Implemented and tested an emergency operations plan that includes backup systems and alternative service provision; -Completed infrastructure upgrades or repairs that improve resilience against the top three identified local hazards."
N19,H#,Employment and Labor,H.FA1,Workforce Development,Increase STEM Job Attainment,A beneficiary attained one or more of the following results within the past year: -Secured full-time or part-time employment in a STEM-related occupation and retained it for at least three months; -Growth in the number and percentage of STEM workers; -Higher post-graduation employment rate in STEM fields; -Lower unemployment rates for STEM workers.
N18,H#,Employment and Labor,H.FA1,Workforce Development,Increase STEM Career Advancement,A beneficiary attained one or more of the following results within the past year: -Promotion or new responsibilities in a STEM position; -Increased salary or benefits as a result of STEM role progression; -Access to ongoing professional development supporting advancement in STEM fields.
N17,H#,Employment and Labor,H.FA1,Workforce Development,Increase Service and Civic Engagement to Build Workforce Skills,"A beneficiary demonstrated one or more of the following results within the past year: -Participated in a structured service or civic engagement program that addresses community needs; -Completed program requirements such as attendance, hours served, and reporting obligations; -Developed skills transferrable to future employment opportunities; -Demonstrated measurable progress toward career advancement, further education, or continued engagement in public service."
N16,H#,Employment and Labor,H.FA1,Workforce Development,Improve STEM Workforce Skills,"A beneficiary attained one or more of the following results within the past year: -Completion of STEM-focused coursework, training programs, or apprenticeships; -Attainment of industry-recognized certifications, academic degrees, or other STEM credentials; -Participation in laboratory, fieldwork, internship, fellowship, or mentorship experiences aligned with STEM careers; -Improved ability to apply STEM knowledge, technical skills, and problem-solving in professional contexts."
N11,2025#DS,Debt Service,DS.FA1,Fees and Receipts,Improve Revenue Collection,"A beneficiary demonstrated one or more of the following results within the past year: -Accurately calculated, allocated, and disbursed public receipts to eligible recipients in compliance with applicable laws and agreements; -Met required disbursement schedules without incurring late payment penalties; -Used reliable tracking and reconciliation systems to verify accuracy and resolve discrepancies promptly."
N10,2025#DS,Debt Service,DS.FA1,Fees and Receipts,Reduce the Inventory of Federal Unneeded Property,"A beneficiary demonstrated one or more of the following results within the past year: -Disposed of surplus Federal property through sales, auctions, or donations in compliance with applicable laws and program rules; -Ensured eligibility and fairness in property transfers using transparent, documented processes; -Decreased disposition time of Federal property; -Maximized value or reuse potential of property through competitive sales or targeted donations."
1IA,2025#IA,International Affairs,IA.FA1,International Relations and Foreign Affairs,Improve Consular Facilities,"A beneficiary demonstrated one or more of the following results within the past year: -Renovated, expanded, or upgraded consular buildings to improve accessibility, safety, and service delivery; -Strengthened physical infrastructure to support secure and efficient operations; -Improved facility readiness to assist citizens during emergencies abroad."
6IA,2025#IA,International Affairs,IA.FA1,International Relations and Foreign Affairs,Increase International Entrepreneurship,A beneficiary demonstrated one or more of the following results within the past year: -Provided training or mentorship to support individuals starting new businesses in partner nations; -Expanded access to business networks and investment opportunities for aspiring entrepreneurs.
3IA,2025#IA,International Affairs,IA.FA1,International Relations and Foreign Affairs,Improve Humanitarian Aid Delivery,"A beneficiary demonstrated one or more of the following results within the past year: -Provided essential resources, such as food, water, shelter, or medical supplies to international populations affected by crisis or disaster; -Strengthened logistics and supply chains to ensure timely and effective delivery of aid; -Improved coordination with trusted partners to support relief efforts in a cost-effective and accountable manner."
4IA,2025#IA,International Affairs,IA.FA1,International Relations and Foreign Affairs,Strengthen Global Crisis Preparation,A beneficiary demonstrated one or more of the following results within the past year: -Participated in joint planning or coordination exercises with foreign governments or humanitarian organizations to prepare for international emergencies; -Established or enhanced communication channels to support rapid and organized crisis response; -Strengthened operational readiness to assist U.S. citizens and allies during international emergencies or disruptions.
7IA,2025#IA,International Affairs,IA.FA1,International Relations and Foreign Affairs,Support International Mobility of Faculty,"A beneficiary demonstrated one or more of the following results within the past year: -Participated in international teaching, research, or professional exchange opportunities that strengthen subject-matter expertise and global perspective; -Built professional relationships abroad that contribute to academic excellence and national competitiveness; -Published co-authored research papers resulting from international collaborations."
11IA,2025#IA,International Affairs,IA.FA1,International Relations and Foreign Affairs,Strengthen Multilateral Engagements,"A beneficiary demonstrated one or more of the following results within the past year: -Participated in diplomatic meetings, summits, or coordination exercises with multilateral organizations; -Established or expanded working groups, committees, or task forces focused on global challenges and strategic cooperation; -Improved communication and coordination across nations to support stability, security, and economic development."
10IA,2025#IA,International Affairs,IA.FA1,International Relations and Foreign Affairs,Strengthen Global Policy Collaboration,"A beneficiary demonstrated one or more of the following results within the past year: -Led or contributed to international policy initiatives, joint statements, or treaty negotiations that advance shared interests; - Participated in cooperative policymaking through direct engagement with foreign governments or strategic partners; -Secured formal agreements for long-term policy alignment and mutual benefit."
2IA,2025#IA,International Affairs,IA.FA1,International Relations and Foreign Affairs,Improve Consular Services to US Citizens,"A beneficiary demonstrated one or more of the following results within the past year: -Improved citizen services through streamlined processes, upgraded systems, or increased staffing -Enhanced protocols for assisting citizens during local emergencies, travel disruptions, or legal issues abroad; -Strengthened coordination and operational efficiency to better serve U.S. nationals in foreign countries."
9IA,2025#IA,International Affairs,IA.FA1,International Relations and Foreign Affairs,Expand Small Business Growth in International Markets ,"A beneficiary demonstrated one or more of the following results within the past year: -Facilitated partnerships between local small businesses and international investors or markets; -Strengthened support systems, including financing, technical assistance, or market access, to help small businesses expand; -Promoted private-sector development that contributes to economic stability and job creation in partner nations."
