Income Security and Social Services,Prevention
Income Security and Social Services,Public Assistance
Income Security and Social Services,"Refugees, Alien Services"
Income Security and Social Services,"Research, Demonstration"
Income Security and Social Services,Social Security and Insurance
Income Security and Social Services,Specialized Family and Child Welfare Services
Income Security and Social Services,Specialized Services
Income Security and Social Services,Training Assistance
Income Security and Social Services,Veterans Services
Income Security and Social Services,Youth Services
Information and Statistics,All subcategories (K through N) apply
Information and Statistics,Census Data
Information and Statistics,General
Information and Statistics,"Libraries, Clearinghouses, Archives"
Information and Statistics,Library of Congress
"Law, Justice and Legal Services",All subcategories (K through S) apply
"Law, Justice and Legal Services",Law Enforcement - Crime Analysis and Data
"Law, Justice and Legal Services",Law Enforcement - Narcotics and Dangerous Drugs
"Law, Justice and Legal Services",Law Enforcement - Planning and Operations
"Law, Justice and Legal Services","Law Enforcement - Research, Education, Training"
"Law, Justice and Legal Services",Legal Services - Claims Against Foreign Government
"Law, Justice and Legal Services",Legal Services - Employment Rights
"Law, Justice and Legal Services",Legal Services - General Services
"Law, Justice and Legal Services",Legal Services - Housing Rights
"Law, Justice and Legal Services",Legal Services - Labor Management
Natural Resources,All subcategories (K through Q) apply
Natural Resources,Community Sewage Treatment Assistance
Natural Resources,Community Water Supply Services
Natural Resources,Land Conservation
Natural Resources,Mineral Research
Natural Resources,Recreation
Natural Resources,Water Conservation and Research
Natural Resources,Wildlife Research and Preservation
Regional Development,All subcategories (K through T) apply
Regional Development,Economic Development
Regional Development,Education
Regional Development,Energy
Regional Development,Health and Nutrition
Regional Development,Housing
Regional Development,Land Acquisition and Rehabilitation and Facilities Construction
Regional Development,Planning and Technical Assistance
Regional Development,Resources and Development
Regional Development,Transportation
Science and Technology,All subcategories (K through M) apply
Science and Technology,Information and Technical
Science and Technology,Research - General
Science and Technology,Research - Specialized
Transportation,Air Transportation
Transportation,All subcategories (K through O) apply
Transportation,"Highways, Public Roads, and Bridges"
Transportation,Rail Transportation
Transportation,Urban Mass Transit
Transportation,Water Navigation
