`,name,description,agency,subagency,category,subcategory,type,assistance_type,2022_outlays,2022_foregone_revenue,2023_outlays,2023_foregone_revenue,2024_outlays,2024_foregone_revenue
TC.023,Energy investment credit,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Energy,tax_expenditure,Tax Expenditure,,,,,,24170000000
TC.024,Advanced nuclear power production credit,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Energy,tax_expenditure,Tax Expenditure,,,,,,130000000
TC.025,Zero-emission nuclear power production credit,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Energy,tax_expenditure,Tax Expenditure,,,,,,2550000000
TC.026,Reduced tax rate for nuclear decommissioning funds,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Energy,tax_expenditure,Tax Expenditure,,,,,,120000000
TC.027,Alcohol fuel credits,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Energy,tax_expenditure,Tax Expenditure,,,,,,20000000
TC.028,Bio-Diesel and small agri-biodiesel producer tax credits,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Energy,tax_expenditure,Tax Expenditure,,,,,,20000000
TC.029,Clean fuel production credit,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Energy,tax_expenditure,Tax Expenditure,,,,,,0
TC.030,Clean hydrogen production credit,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Energy,tax_expenditure,Tax Expenditure,,,,,,540000000
TC.031,Tax credit for clean vehicles,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Energy,tax_expenditure,Tax Expenditure,,,,,,14080000000
TC.032,Tax credits for refueling property,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Energy,tax_expenditure,Tax Expenditure,,,,,,280000000
TC.033,Allowance of deduction for certain energy efficient commercial building property,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Energy,tax_expenditure,Tax Expenditure,,,,,,510000000
TC.034,Credit for construction of new energy efficient homes,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Energy,tax_expenditure,Tax Expenditure,,,,,,210000000
TC.035,Credit for energy efficiency improvements to existing homes,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Energy,tax_expenditure,Tax Expenditure,,,,,,2340000000
TC.036,Credit for residential energy efficient property ,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Energy,tax_expenditure,Tax Expenditure,,,,,,6350000000
TC.037,Advanced energy property credit,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Energy,tax_expenditure,Tax Expenditure,,,,,,1170000000
TC.038,Advanced manufacturing production credit,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Energy,tax_expenditure,Tax Expenditure,,,,,,870000000
TC.039,"Expensing of exploration and development costs, nonfuel minerals ",,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Natural Resources and Environment,tax_expenditure,Tax Expenditure,,,,,,50000000
TC.040,"Excess of percentage over cost depletion, nonfuel minerals ",,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Natural Resources and Environment,tax_expenditure,Tax Expenditure,,,,,,290000000
TC.041,"Exclusion of interest on bonds for water, sewage, and hazardous waste facilities",,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Natural Resources and Environment,tax_expenditure,Tax Expenditure,,,,,,350000000
TC.042,Capital gains treatment of certain timber income ,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Natural Resources and Environment,tax_expenditure,Tax Expenditure,,,,,,180000000
TC.043,Expensing of multiperiod timber growing costs ,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Natural Resources and Environment,tax_expenditure,Tax Expenditure,,,,,,320000000
TC.044,Tax incentives for preservation of historic structures ,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Natural Resources and Environment,tax_expenditure,Tax Expenditure,,,,,,750000000
TC.045,Carbon oxide sequestration credit,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Natural Resources and Environment,tax_expenditure,Tax Expenditure,,,,,,180000000
TC.046,Deduction for endangered species recovery expenditures,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Natural Resources and Environment,tax_expenditure,Tax Expenditure,,,,,,40000000
TC.047,Expensing of certain capital outlays ,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Agriculture,tax_expenditure,Tax Expenditure,,,,,,120000000
TC.048,Expensing of certain multiperiod production costs ,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Agriculture,tax_expenditure,Tax Expenditure,,,,,,270000000
TC.049,Treatment of loans forgiven for solvent farmers,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Agriculture,tax_expenditure,Tax Expenditure,,,,,,120000000
TC.050,Capital gains treatment of certain agriculture income ,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Agriculture,tax_expenditure,Tax Expenditure,,,,,,1790000000
TC.051,Income averaging for farmers,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Agriculture,tax_expenditure,Tax Expenditure,,,,,,200000000
TC.052,Deferral of gain on sale of farm refiners,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Agriculture,tax_expenditure,Tax Expenditure,,,,,,20000000
TC.053,Expensing of reforestation expenditures,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Agriculture,tax_expenditure,Tax Expenditure,,,,,,70000000
TC.054,Exemption of credit union income ,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Commerce and Housing,tax_expenditure,Tax Expenditure,,,,,,2450000000
TC.055,Exclusion of life insurance death benefits,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Commerce and Housing,tax_expenditure,Tax Expenditure,,,,,,16620000000
TC.056,Exemption or special alternative tax for small property and casualty insurance companies ,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Commerce and Housing,tax_expenditure,Tax Expenditure,,,,,,1830000000
TC.057,Tax exemption of insurance income earned by tax-exempt organizations,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Commerce and Housing,tax_expenditure,Tax Expenditure,,,,,,390000000
TC.058,Exclusion of interest spread of financial institutions,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Commerce and Housing,tax_expenditure,Tax Expenditure,,,,,,15800000000
TC.059,Exclusion of interest on owner-occupied mortgage subsidy bonds ,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Commerce and Housing,tax_expenditure,Tax Expenditure,,,,,,1110000000
TC.060,Exclusion of interest on rental housing bonds,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Commerce and Housing,tax_expenditure,Tax Expenditure,,,,,,2750000000
TC.061,Deductibility of mortgage interest on owner-occupied homes ,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Commerce and Housing,tax_expenditure,Tax Expenditure,,,,,,29060000000
TC.062,Deductibility of State and local property tax on owner-occupied homes,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Commerce and Housing,tax_expenditure,Tax Expenditure,,,,,,6360000000
TC.063,Deferral of income from installment sales ,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Commerce and Housing,tax_expenditure,Tax Expenditure,,,,,,2340000000
TC.064,Capital gains exclusion on home sales,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Commerce and Housing,tax_expenditure,Tax Expenditure,,,,,,59070000000
TC.065,Exclusion of net imputed rental income,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Commerce and Housing,tax_expenditure,Tax Expenditure,,,,,,1.65E+11
TC.066,"Exception from passive loss rules for $25,000 of rental loss ",,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Commerce and Housing,tax_expenditure,Tax Expenditure,,,,,,8330000000
TC.067,Credit for low-income housing investments,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Commerce and Housing,tax_expenditure,Tax Expenditure,,,,,,13620000000
TC.068,Accelerated depreciation on rental housing (normal tax method) ,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Commerce and Housing,tax_expenditure,Tax Expenditure,,,,,,2300000000
TC.069,Discharge of mortgage indebtedness,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Commerce and Housing,tax_expenditure,Tax Expenditure,,,,,,150000000
TC.070,Discharge of business indebtedness,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Commerce and Housing,tax_expenditure,Tax Expenditure,,,,,,10000000
TC.071,Exceptions from imputed interest rules ,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Commerce and Housing,tax_expenditure,Tax Expenditure,,,,,,80000000
TC.072,Treatment of qualified dividends,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Commerce and Housing,tax_expenditure,Tax Expenditure,,,,,,40060000000
TC.073,"Capital gains (except agriculture, timber, iron ore, and coal)",,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Commerce and Housing,tax_expenditure,Tax Expenditure,,,,,,1.34E+11
TC.074,Capital gains exclusion of small corporation stock,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Commerce and Housing,tax_expenditure,Tax Expenditure,,,,,,3380000000
TC.075,Step-up basis of capital gains at death ,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Commerce and Housing,tax_expenditure,Tax Expenditure,,,,,,33560000000
TC.076,Carryover basis of capital gains on gifts ,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Commerce and Housing,tax_expenditure,Tax Expenditure,,,,,,4830000000
TC.077,Ordinary income treatment of loss from small business corporation stock sale ,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Commerce and Housing,tax_expenditure,Tax Expenditure,,,,,,80000000
TC.078,Deferral of capital gains from like-kind exchanges,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Commerce and Housing,tax_expenditure,Tax Expenditure,,,,,,7650000000
TC.079,Depreciation of buildings other than rental housing (normal tax method) ,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Commerce and Housing,tax_expenditure,Tax Expenditure,,,,,,440000000
TC.080,Accelerated depreciation of machinery and equipment (normal tax method) ,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Commerce and Housing,tax_expenditure,Tax Expenditure,,,,,,-4040000000
TC.081,Exclusion of interest on small issue bonds ,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Commerce and Housing,tax_expenditure,Tax Expenditure,,,,,,60000000
TC.082,Special rules for certain film and TV production,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Commerce and Housing,tax_expenditure,Tax Expenditure,,,,,,230000000
TC.083,Allow 20-percent deduction to certain pass-through income,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Commerce and Housing,tax_expenditure,Tax Expenditure,,,,,,40230000000
TC.084,Advanced manufacturing investment credit,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Commerce and Housing,tax_expenditure,Tax Expenditure,,,,,,3220000000
TC.085,Tonnage tax,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Transportation,tax_expenditure,Tax Expenditure,,,,,,120000000
TC.086,Deferral of tax on shipping companies,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Transportation,tax_expenditure,Tax Expenditure,,,,,,20000000
TC.087,Exclusion of reimbursed employee parking expenses ,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Transportation,tax_expenditure,Tax Expenditure,,,,,,1950000000
TC.088,Exclusion for employer-provided transit passes ,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Transportation,tax_expenditure,Tax Expenditure,,,,,,390000000
TC.089,Tax credit for certain expenditures for maintaining railroad tracks,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Transportation,tax_expenditure,Tax Expenditure,,,,,,80000000
TC.090,Exclusion of interest on bonds for Highway Projects and rail-truck transfer facilities,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Transportation,tax_expenditure,Tax Expenditure,,,,,,140000000
TC.091,"Exclusion of interest for airport, dock, and similar bonds",,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Community and Regional Development,tax_expenditure,Tax Expenditure,,,,,,1480000000
TC.092,Exemption of certain mutuals' and cooperatives' income ,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Community and Regional Development,tax_expenditure,Tax Expenditure,,,,,,110000000
TC.093,Empowerment zones,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Community and Regional Development,tax_expenditure,Tax Expenditure,,,,,,90000000
TC.094,New markets tax credit,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Community and Regional Development,tax_expenditure,Tax Expenditure,,,,,,1250000000
TC.095,Credit to holders of Gulf and Midwest Tax Credit Bonds .,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Community and Regional Development,tax_expenditure,Tax Expenditure,,,,,,0
TC.096,Recovery Zone Bonds,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Community and Regional Development,tax_expenditure,Tax Expenditure,,,,,,10000000
TC.097,Tribal Economic Development Bonds,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Community and Regional Development,tax_expenditure,Tax Expenditure,,,,,,0
TC.098,Opportunity Zones,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Community and Regional Development,tax_expenditure,Tax Expenditure,,,,,,3040000000
TC.099,Disaster employee retention credit,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Community and Regional Development,tax_expenditure,Tax Expenditure,,,,,,40000000
TC.100,Exclusion of scholarship and fellowship income (normal tax method) ,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,"Education, Training, Employment, and Social Services ",tax_expenditure,Tax Expenditure,,,,,,4860000000
TC.101,Tax credits for post-secondary education expenses,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,"Education, Training, Employment, and Social Services ",tax_expenditure,Tax Expenditure,,,,,,11190000000
TC.102,Deductibility of student-loan interest,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,"Education, Training, Employment, and Social Services ",tax_expenditure,Tax Expenditure,,,,,,500000000
TC.103,Qualified tuition programs (includes Education IRA),,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,"Education, Training, Employment, and Social Services ",tax_expenditure,Tax Expenditure,,,,,,3220000000
TC.104,Exclusion of interest on student-loan bonds ,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,"Education, Training, Employment, and Social Services ",tax_expenditure,Tax Expenditure,,,,,,130000000
TC.105,Exclusion of interest on bonds for private nonprofit educational facilities ,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,"Education, Training, Employment, and Social Services ",tax_expenditure,Tax Expenditure,,,,,,2800000000
TC.106,Credit for holders of zone academy bonds,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,"Education, Training, Employment, and Social Services ",tax_expenditure,Tax Expenditure,,,,,,80000000
TC.107,Exclusion of interest on savings bonds redeemed to finance educational expenses,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,"Education, Training, Employment, and Social Services ",tax_expenditure,Tax Expenditure,,,,,,40000000
TC.108,Parental personal exemption for students age 19 or over ,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,"Education, Training, Employment, and Social Services ",tax_expenditure,Tax Expenditure,,,,,,2130000000
TC.109,Deductibility of charitable contributions to educational institutions,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,"Education, Training, Employment, and Social Services ",tax_expenditure,Tax Expenditure,,,,,,9090000000
TC.110,Exclusion of employer-provided educational assistance ,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,"Education, Training, Employment, and Social Services ",tax_expenditure,Tax Expenditure,,,,,,1700000000
TC.111,Special deduction for teacher expenses,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,"Education, Training, Employment, and Social Services ",tax_expenditure,Tax Expenditure,,,,,,160000000
TC.112,Discharge of student loan indebtedness,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,"Education, Training, Employment, and Social Services ",tax_expenditure,Tax Expenditure,,,,,,5910000000
TC.113,Qualified school construction bonds,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,"Education, Training, Employment, and Social Services ",tax_expenditure,Tax Expenditure,,,,,,470000000
TC.114,Work opportunity tax credit,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,"Education, Training, Employment, and Social Services ",tax_expenditure,Tax Expenditure,,,,,,2050000000
TC.115,Employer provided child care exclusion,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,"Education, Training, Employment, and Social Services ",tax_expenditure,Tax Expenditure,,,,,,860000000
TC.116,Employer-provided child care credit,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,"Education, Training, Employment, and Social Services ",tax_expenditure,Tax Expenditure,,,,,,20000000
TC.117,Assistance for adopted foster children,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,"Education, Training, Employment, and Social Services ",tax_expenditure,Tax Expenditure,,,,,,650000000
TC.118,Adoption credit and exclusion,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,"Education, Training, Employment, and Social Services ",tax_expenditure,Tax Expenditure,,,,,,300000000
TC.119,Exclusion of employee meals and lodging (other than military) ,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,"Education, Training, Employment, and Social Services ",tax_expenditure,Tax Expenditure,,,,,,6690000000
TC.120,Credit for child and dependent care expenses,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,"Education, Training, Employment, and Social Services ",tax_expenditure,Tax Expenditure,,,,,,3560000000
TC.121,Credit for disabled access expenditures ,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,"Education, Training, Employment, and Social Services ",tax_expenditure,Tax Expenditure,,,,,,10000000
TC.122,"Deductibility of charitable contributions, other than education and health",,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,"Education, Training, Employment, and Social Services ",tax_expenditure,Tax Expenditure,,,,,,46240000000
TC.123,Exclusion of certain foster care payments ,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,"Education, Training, Employment, and Social Services ",tax_expenditure,Tax Expenditure,,,,,,920000000
TC.124,Exclusion of parsonage allowances ,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,"Education, Training, Employment, and Social Services ",tax_expenditure,Tax Expenditure,,,,,,1160000000
TC.125,Indian employment credit,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,"Education, Training, Employment, and Social Services ",tax_expenditure,Tax Expenditure,,,,,,30000000
TC.126,Employer-provided paid family and medical leave credit,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,"Education, Training, Employment, and Social Services ",tax_expenditure,Tax Expenditure,,,,,,80000000
TC.127,Exclusion of employer contributions for medical insurance premiums and medical care,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Health,tax_expenditure,Tax Expenditure,,,,,,2.47E+11
TC.128,Self-employed medical insurance premiums,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Health,tax_expenditure,Tax Expenditure,,,,,,8530000000
TC.129,Medical Savings Accounts / Health Savings Accounts,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Health,tax_expenditure,Tax Expenditure,,,,,,14020000000
TC.130,Deductibility of medical expenses ,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Health,tax_expenditure,Tax Expenditure,,,,,,12640000000
TC.131,Exclusion of interest on hospital construction bonds,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Health,tax_expenditure,Tax Expenditure,,,,,,3490000000
TC.132,Refundable Premium Assistance Tax Credit,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Health,tax_expenditure,Tax Expenditure,,,,,,13670000000
TC.133,Credit for employee health insurance expenses of small business ,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Health,tax_expenditure,Tax Expenditure,,,,,,10000000
TC.134,Deductibility of charitable contributions to health institutions,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Health,tax_expenditure,Tax Expenditure,,,,,,10490000000
TC.135,Tax credit for orphan drug research ,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Health,tax_expenditure,Tax Expenditure,,,,,,1930000000
TC.136,Special Blue Cross/Blue Shield tax benefits ,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Health,tax_expenditure,Tax Expenditure,,,,,,420000000
TC.137,Distributions from retirement plans for premiums for health and long-term care insurance,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Health,tax_expenditure,Tax Expenditure,,,,,,490000000
TC.138,Child credit,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Income Security,tax_expenditure,Tax Expenditure,,,,,,24150000000
TC.139,Other Dependent Tax Credit,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Income Security,tax_expenditure,Tax Expenditure,,,,,,3380000000
TC.140,Exclusion of railroad retirement (Social Security equivalent) benefits ,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Income Security,tax_expenditure,Tax Expenditure,,,,,,230000000
TC.141,Exclusion of workers' compensation benefits,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Income Security,tax_expenditure,Tax Expenditure,,,,,,8780000000
TC.142,Exclusion of public assistance benefits (normal tax method) ,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Income Security,tax_expenditure,Tax Expenditure,,,,,,790000000
TC.143,Exclusion of special benefits for disabled coal miners ,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Income Security,tax_expenditure,Tax Expenditure,,,,,,20000000
TC.144,Exclusion of military disability pensions ,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Income Security,tax_expenditure,Tax Expenditure,,,,,,250000000
TC.145,Net exclusion of pension contributions and earnings: Defined benefit employer plans,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Income Security,tax_expenditure,Tax Expenditure,,,,,,68430000000
TC.146,Net exclusion of pension contributions and earnings: Defined contribution employer plans,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Income Security,tax_expenditure,Tax Expenditure,,,,,,1.45E+11
