PROGRAM_ID,Agency,Program Name,Program Description,Expenditure Method,Mission/Purpose,Recipients,Beneficiaries,Associated Categories,FY 2019 Total Program Obligations,FY 2020 Total Program Obligations,Category,FY 2019 Obligations for Category,FY 2020 Obligations for Category,Update Date-Time
732064,Appalachian Regional Commission,Special Regional Initiative for Distress,"ARC targets special resources to the most economically distressed counties in the region, using a measure of economic distress based on three economic indicators: three-year average unemployment rates, per capita market income, and poverty rates. ARC normally limits its maximum project funding contribution to 50 percent of costs, but it can increase its funding share to as much as 80 percent in distressed counties.",Discretionary Grants,Area and regional development,U.S. State Government (including the District of Columbia); Public/State Controlled Institution; Nonprofit with 501(c)(3) Status; Domestic Local Government (includes territories unless otherwise specified),State; Rural; Other public institution/organization; Public nonprofit institution/organization; Local,Broadband; Economic Development; Workforce Development,40567,34334,Broadband,9213,9607,2021-01-13 at 13.32.03
732064,Appalachian Regional Commission,Special Regional Initiative for Distress,"ARC targets special resources to the most economically distressed counties in the region, using a measure of economic distress based on three economic indicators: three-year average unemployment rates, per capita market income, and poverty rates. ARC normally limits its maximum project funding contribution to 50 percent of costs, but it can increase its funding share to as much as 80 percent in distressed counties.",Discretionary Grants,Area and regional development,U.S. State Government (including the District of Columbia); Public/State Controlled Institution; Nonprofit with 501(c)(3) Status; Domestic Local Government (includes territories unless otherwise specified),State; Rural; Other public institution/organization; Public nonprofit institution/organization; Local,Broadband; Economic Development; Workforce Development,40567,34334,Economic Development,26584,19257,2021-01-13 at 13.32.03
732064,Appalachian Regional Commission,Special Regional Initiative for Distress,"ARC targets special resources to the most economically distressed counties in the region, using a measure of economic distress based on three economic indicators: three-year average unemployment rates, per capita market income, and poverty rates. ARC normally limits its maximum project funding contribution to 50 percent of costs, but it can increase its funding share to as much as 80 percent in distressed counties.",Discretionary Grants,Area and regional development,U.S. State Government (including the District of Columbia); Public/State Controlled Institution; Nonprofit with 501(c)(3) Status; Domestic Local Government (includes territories unless otherwise specified),State; Rural; Other public institution/organization; Public nonprofit institution/organization; Local,Broadband; Economic Development; Workforce Development,40567,34334,Workforce Development,4770,5469,2021-01-13 at 13.32.03
730921,Corporation for National and Community Service,AmeriCorps NCCC,"AmeriCorps NCCC is a full-time, team-based, residential program for 18-24-year-olds. Whether clearing trails for a national park or building homes for families in need, AmeriCorps NCCC members engage in a variety of projects in multiple communities while developing leadership and teamwork skills. AmeriCorps NCCC FEMA Corps serves communities, in coordination with FEMA, through disaster preparedness, response, and recovery.",Other Direct Federal Spending,"Elementary, secondary, and vocational education","U.S. State Government (including the District of Columbia); Nonprofit without 501(c)(3) IRS Status; Nonprofit with 501(c)(3) Status; Private Educational Institution, Nonprofit; Public/State Controlled Institution; Special District Governments or Interstate; Domestic Local Government (includes territories unless otherwise specified); Indian/Native American Tribal Government",Anyone/General public,STEM Education,27298,30931,STEM Education,2423,151,2021-01-13 at 13.32.03
730922,Corporation for National and Community Service,AmeriCorps Seniors,"For decades, volunteers age 55+ have been serving their communities through AmeriCorps Seniors programs, led by AmeriCorps, the federal agency for service, volunteering, and civic engagement. Each year, AmeriCorps Seniors engages more than 200,000 older adults in volunteer service through its Foster Grandparent, Senior Companion, and RSVP programs, enriching the lives of the volunteers and benefiting their communities.",Discretionary Grants,"Elementary, secondary, and vocational education","U.S. State Government (including the District of Columbia); Nonprofit without 501(c)(3) IRS Status; Nonprofit with 501(c)(3) Status; Private Educational Institution, Nonprofit; Public/State Controlled Institution; Special District Governments or Interstate; Domestic Local Government (includes territories unless otherwise specified); Indian/Native American Tribal Government",Anyone/General public,Native American,198080,196425,Native American,2522,2345,2021-01-13 at 13.32.03
730918,Corporation for National and Community Service,AmeriCorps State & National (Competitive),"AmeriCorps State and National matches individuals with organizations that see service as solution to local, regional, and national challenges. There are thousands of opportunities in locations across the country to serve with nonprofits, schools, public agencies, tribes, and community and faith-based groups. Most AmeriCorps grant funding goes to the State Service Commissions, which in turn award grants to organizations to respond to local needs.",Discretionary Grants,"Elementary, secondary, and vocational education","U.S. State Government (including the District of Columbia); Nonprofit without 501(c)(3) IRS Status; Nonprofit with 501(c)(3) Status; Private Educational Institution, Nonprofit; Public/State Controlled Institution; Special District Governments or Interstate; Domestic Local Government (includes territories unless otherwise specified); Indian/Native American Tribal Government",Anyone/General public,Native American; STEM Education,281759,276415,Native American,2568,1999,2021-01-13 at 13.32.03
730918,Corporation for National and Community Service,AmeriCorps State & National (Competitive),"AmeriCorps State and National matches individuals with organizations that see service as solution to local, regional, and national challenges. There are thousands of opportunities in locations across the country to serve with nonprofits, schools, public agencies, tribes, and community and faith-based groups. Most AmeriCorps grant funding goes to the State Service Commissions, which in turn award grants to organizations to respond to local needs.",Discretionary Grants,"Elementary, secondary, and vocational education","U.S. State Government (including the District of Columbia); Nonprofit without 501(c)(3) IRS Status; Nonprofit with 501(c)(3) Status; Private Educational Institution, Nonprofit; Public/State Controlled Institution; Special District Governments or Interstate; Domestic Local Government (includes territories unless otherwise specified); Indian/Native American Tribal Government",Anyone/General public,Native American; STEM Education,281759,276415,STEM Education,72529,66707,2021-01-13 at 13.32.03
730923,Corporation for National and Community Service,AmeriCorps State & National (Formula),"AmeriCorps State and National matches individuals with organizations that see service as solution to local, regional, and national challenges. There are thousands of opportunities in locations across the country to serve with nonprofits, schools, public agencies, tribes, and community and faith-based groups. Most AmeriCorps grant funding goes to the State Service Commissions, which in turn award grants to organizations to respond to local needs.",Formula Grants,"Elementary, secondary, and vocational education","U.S. State Government (including the District of Columbia); Nonprofit without 501(c)(3) IRS Status; Nonprofit with 501(c)(3) Status; Private Educational Institution, Nonprofit; Public/State Controlled Institution; Special District Governments or Interstate; Domestic Local Government (includes territories unless otherwise specified); Indian/Native American Tribal Government",Anyone/General public,STEM Education,130752,140586,STEM Education,17658,18731,2021-01-13 at 13.32.03
730920,Corporation for National and Community Service,AmeriCorps VISTA,"AmeriCorps VISTA places individuals with organizations that fight poverty, to build capacity and make sustainable change. Through fundraising, grant writing, volunteer recruitment, and more, AmeriCorps VISTA members gain experience and leadership skills that put them on track for a life of service in the public, private, or nonprofit sector.",Discretionary Grants,"Elementary, secondary, and vocational education","U.S. State Government (including the District of Columbia); Nonprofit without 501(c)(3) IRS Status; Nonprofit with 501(c)(3) Status; Private Educational Institution, Nonprofit; Public/State Controlled Institution; Special District Governments or Interstate; Domestic Local Government (includes territories unless otherwise specified); Indian/Native American Tribal Government",Anyone/General public,Native American; STEM Education,89241,89479,Native American,2398,1239,2021-01-13 at 13.32.03
730920,Corporation for National and Community Service,AmeriCorps VISTA,"AmeriCorps VISTA places individuals with organizations that fight poverty, to build capacity and make sustainable change. Through fundraising, grant writing, volunteer recruitment, and more, AmeriCorps VISTA members gain experience and leadership skills that put them on track for a life of service in the public, private, or nonprofit sector.",Discretionary Grants,"Elementary, secondary, and vocational education","U.S. State Government (including the District of Columbia); Nonprofit without 501(c)(3) IRS Status; Nonprofit with 501(c)(3) Status; Private Educational Institution, Nonprofit; Public/State Controlled Institution; Special District Governments or Interstate; Domestic Local Government (includes territories unless otherwise specified); Indian/Native American Tribal Government",Anyone/General public,Native American; STEM Education,89241,89479,STEM Education,4123,3559,2021-01-13 at 13.32.03
732104,Corps of Engineers--Civil Works,Access to Water Data,"The Corps uses this funding to develop standard business processes, procedures and database models to manage water quality and quantity data generated by the full range of Corps water resources activities.  It does so in conjunction with the Environmental Protection Agency (EPA), the U.S. Geological Survey (USGS) and the National Oceanic and Atmospheric Administration (NOAA) Water Control and Water Quality Programs. This may include water quality/quantity information associated with stream gages, water quality gages and other monitoring devices and water resources model and analytical tool output. These data include variables such as precipitation, water chemistry, temperature, evaporation, sedimentation, biological and habitat data, riverine discharges and stages, reservoir storage, inflows and outflow. This will include developing quality assurance/quality control processes and criteria for collected data. Water quantity and water quality data will be made available to the public through a standard web interface in a downloadable format as soon as quality assurance/quality control has been conducted by the Corps.",Federal Pay and Benefits,Water resources,U.S. Federal Government,State; U.S. Territories; U.S. Citizen; Local,Flood Risk,313,283,Flood Risk,313,283,2021-01-13 at 13.32.03
732108,Corps of Engineers--Civil Works,Coastal Field Data Collection,"The Corps uses this funding to support the operation of a Corps research facility, a coastal observatory in Duck, North Carolina, which  measures, analyzes, and assembles long-term, high-resolution coastal ocean data sets.  More specifically, the Corps uses this funding to:

• continue this long-term coastal ocean data collection, and associated data requirements of the real-time model test bed.  These wave observation systems provide data to advance coastal wave modeling technology and coastal inundation predictions.
• continue the long-term coastal morphology survey program.  These observations provide insight to erosion, inundation, and dune resilience, and inform development of sediment transport, shoreline change, and beach morphology models.
• continue the collection of estuarine data (waves, water levels, winds, etc.) to assist in understanding sediment transport processes in estuarine environments, which supports research on various Corps activities including: re-suspension due to dredging, dredge material placement, and ecosystem restoration.

",Federal Pay and Benefits,Water resources,U.S. Federal Government,State; U.S. Citizen; U.S. Territories; Local,Flood Risk,986,2490,Flood Risk,986,2490,2021-01-13 at 13.32.03
732119,Corps of Engineers--Civil Works,Coastal Ocean Data System (CODS),"The Corps uses this funding to develop high-quality long-term coastal wave information, wave analysis products, and related decision tools, and produce storm event data sets.  It provides some of this funding to the Scripps Institution of Oceanography, which maintains a network of shallow-water coastal gauges nationwide to measure wave characteristics from actual observations.  The Corps also uses this funding to estimate wave characteristics over the past 20 years - 30 years, using high-quality coastal wave hindcast models.  The Corps then applies these estimates of water levels for historic and hypothetical future coastal storms to identify the extreme conditions that define and quantify an acceptable level of risk, to improve our understanding of storm climatology, and to asses coastal risks.",Federal Pay and Benefits,Water resources,U.S. Federal Government,State; U.S. Citizen; U.S. Territories; Local,Flood Risk,6404,5408,Flood Risk,6404,5408,2021-01-13 at 13.32.03
732126,Corps of Engineers--Civil Works,Dam Safety and Seepage/Stability Correction Program,"The Corps uses this funding to evaluate and study options for addressing dam safety assurance, seepage control, and static instability concerns at completed dams that the Corps owns and operates.  In these evaluations and studies, the Corps uses risk-informed engineering criteria.  The Corps funds the construction of dam safety modifications through project-specific line items in the Construction account.  Since FY 2019, the Corps has funded all new dam safety modification studies in the Budget through project-specific line items in the Investigations account.",Federal Pay and Benefits,Water resources,U.S. Federal Government,State; U.S. Citizen; U.S. Territories; Local,Flood Risk,25454,23745,Flood Risk,25454,23745,2021-01-13 at 13.32.03
732109,Corps of Engineers--Civil Works,Flood Damage Data,"The Corps uses this funding to collect and maintain basic flood damage data, improve the technical quality and accuracy of the available flood damage data, and improve our understanding of the interrelationships of the characteristics of flooding on property damage.  The activities of the program are to:

• conduct actual flood damage surveys following riverine and coastal flood events;
• develop, maintain, and improve the economic database for flood damage reduction projects;
• calculate flood depth-damage functions for riverine and coastal flooding based on actual damage data;
• collect data and derive damage relationships for roads, public building and facilities, and other public costs of flooding:
• develop and maintain a floodplain inventory application that would be used to apply flood damage estimation models to feasibility and continuing authority studies; and
• provide information to communities for hazard mitigation plans and grant applications. to:

The Corps also uses this funding to update and maintain data collection survey forms and other data collection techniques, to develop and share a flood damage database, to update and maintain a geospatial computer application for floodplain inventory data, and to certify models for estimating residential and nonresidential structure values.  In addition, it uses this funding to facilitate collaboration in collecting and sharing of flood damage data within the Corps and between other agencies, and to refine functions for estimating cleanup and relocation costs associated with flooding.  Finally, the Corps uses these funds to develop and refine depth-damage curves for coastal areas, for which the Corps has limited information, and for which effects (wave attack, erosion, storm surge, saline water) are markedly different from riverine flooding.",Federal Pay and Benefits,Water resources,U.S. Federal Government,State; U.S. Citizen; U.S. Territories; Local,Flood Risk,228,215,Flood Risk,228,215,2021-01-13 at 13.32.03
732110,Corps of Engineers--Civil Works,Flood Plain Management Services,"The Corps uses this funding to provide technical assistance (information, analysis, guidance) to states, tribes, and local communities that are taking, or considering, actions to improve their flood plain management, with a focus on non-structural measures, and the planning and implementation of actions at the State and local levels that reduce flood risk through wise use of floodplains.  The Corps provides this technical assistance for use in locally based planning efforts, based on the flood and flood plain concerns that the local community has identified.",Federal Pay and Benefits,Water resources,U.S. Federal Government,U.S. Territories; State; Local; U.S. Citizen,Flood Risk,15100,15938,Flood Risk,15100,15938,2021-01-13 at 13.32.03
732111,Corps of Engineers--Civil Works,Hydrologic Studies,"The Corps uses this funding to perform engineering analyses of hydrologic data on one or more specific storm events, outside of the scope of a Corps project study. It conducts these analyses to advance our general understanding of the hydrology of major storm events and certain special hydrologic processes.  The Corps also applies the conclusions that it derives from these analyses to improve the hydrologic engineering techniques that it uses in the planning, design, construction, and operation of water resources projects. The program consists of four sub items:

• Storm Studies: The Corps uses these funds to gather comprehensive rainfall data in order to refine regional hydro-meteorological information throughout the nation. This up-to-date hydro-meteorological information informs Corps water resources studies, and supports the design of proposed projects.
• General Hydrologic Studies: The Corps uses these funds to analyze rainfall runoff relationships; to estimate flood frequencies; and in snowmelt studies, hydrograph development and routing at selected watersheds, model calibrations in urban areas, analyses of past floods, the development of methods for the hydraulic analysis of non-gauged streams, and other studies of a related hydrologic nature.
• Sedimentation Studies: The Corps uses these funds in non-project sedimentation studies, and for the Corps share of the cost of the cooperative Interagency Sedimentation Project at the Hydraulics Laboratory, Waterways Experiment Station.
• Stream Flow and Rainfall Data Analysis: The Corps uses these funds to install and operate hydrometeorology gages unrelated to a specific Corps project, where needed to support the studies described above.

The FY 2020 funding includes $3 million for work with the Natural Resources Conservation Service and the States of Montana, North Dakota, South Dakota, and Wyoming on soil moisture and snow pack monitoring in the Upper Missouri River Basin.",Federal Pay and Benefits,Water resources,U.S. Federal Government,State; U.S. Citizen; U.S. Territories; Local,Flood Risk,442,3435,Flood Risk,442,3435,2021-01-13 at 13.32.03
732120,Corps of Engineers--Civil Works,Inland Waterway Navigation Charts,"The Corps uses this funding to provide electronic navigational chart (ENC) data for all inland waterways and other federal navigation channels maintained by the Corps to be used by commercial electronic chart systems (ECS), which, when combined with the existing differential global positioning system (DGPS), will improve the safety and efficiency of marine navigation in both inland and coastal waterways of the United States.  On inland waterways, the Corps will collect more accurate survey and mapping data than is currently on its paper charts, and produce inland electronic navigation charts (IENCs) in accordance with navigation users and ECS vendors.  When combined in the commercial ECS, the technology will greatly improve the safety and efficiency of navigation.  This will allow safe navigation through bridge openings during fog and other bad weather conditions as well as during heavy traffic situations, and provide an accurate display for other systems such as radar and Automatic Identification Systems.  The Corps will use the S-57 international data format, the electronic data transfer standard prepared by the International Hydrographic Organization committee.  The S-57 format is consistent with electronic chart products produced by the National Oceanic and Atmospheric Administration (NOAA), and the chart products produced by the two agencies will be coordinated for compatibility in adjoining areas.  The Corps will also coordinate with the U.S. Coast Guard for aids to navigation information and collaboration on rules for chart carriage by waterway users.  In coastal and Great Lakes areas, the Corps will produce standardized channel condition chart products that will provide consistent and reliable information to NOAA for chart updates, in accordance with Water Resources Development Act of 2000, Section 558.",Federal Pay and Benefits,Water resources,U.S. Federal Government,State; U.S. Citizen; U.S. Territories; Local,Flood Risk,4435,4836,Flood Risk,4435,4836,2021-01-13 at 13.32.03
732121,Corps of Engineers--Civil Works,Inspection of Completed Federal Flood Control Projects,"The Corps uses this funding to provide central oversight and support for its nationwide effort to enable local communities to understand the risks associated with levee systems that the Corps constructed for them.  The local communities are responsible for the operation, maintenance, repair, replacement, and rehabilitation of those levee systems.  The Corps also uses this funding to conduct risk assessments of certain high-risk federally authorized levee systems.  The Corps provides the results of these risk assessments to the local authorities that are responsible for these levee systems, in order to help them in managing their flood risk.",Federal Pay and Benefits,Water resources,U.S. Federal Government,State; U.S. Citizen; U.S. Territories; Local,Flood Risk,18661,13907,Flood Risk,18661,13907,2021-01-13 at 13.32.03
732112,Corps of Engineers--Civil Works,Inventory of Dams,"The Corps uses this funding to maintain and update data on dams in the United States, using a database called the National Inventory of Dams (NID).  The Corps initially compiled the NID in 1975, and has been updating it periodically since then with information provided by the state dam safety agencies, other Federal agencies that own or regulate dams, and the Corps (for its dams).  The updates reflect changes such as the construction of new dams, changes in ownership, major modifications to existing dams, decommissioning and removal of dams, and improvements in data accuracy and completeness.  The NID now includes 91,468 dams, most of which are privately owned.  With this funding, the Corps updates the data on these dams, improves information flow, and performs data quality control processes.  The Corps also uses this funding to upgrade the Geographic Information System interface used by the NID and to increase the integration of the NID with other dam and levee safety resources.",Federal Pay and Benefits,Water resources,U.S. Federal Government,State; U.S. Citizen; U.S. Territories; Local,Flood Risk,375,325,Flood Risk,375,325,2021-01-13 at 13.32.03
732124,Corps of Engineers--Civil Works,National (Levee) Flood Inventory,"Since 2011, the Corps has maintained a publicly available database called the National Levee Database (NLD), a central source of information on the condition of and risks associated with levee systems in the United States.  The Corps uses this funding to operate, maintain, and update the NLD to reflect the best available risk-based information on levee systems.  The Corps also uses this funding to continue its ongoing work with other Federal agencies to develop a common set of guidelines, criteria, and best practices for their use on the levees that are subject to their jurisdiction, and to develop strategies to improve risk communication.  The Corps also uses some of this funding to work at the state and tribal levels, on a voluntary basis, on information transfer of inspection and assessment practices in order to help them establish or improve their own levee safety programs.",Federal Pay and Benefits,Water resources,U.S. Federal Government,State; U.S. Citizen; U.S. Territories; Local,Flood Risk,4867,3712,Flood Risk,4867,3712,2021-01-13 at 13.32.03
732122,Corps of Engineers--Civil Works,National Coastal Mapping Program,"The Corps uses this funding to produce regional operational data along the coast on a recurring basis.  Regional sediment management requires regional measuring and monitoring to provide engineering, environmental, and economic data and information for decision makers and managers.  There are approximately 7,500 miles of sandy coastline in the continental United States.  The program provides consistent, recurring, regional data to measure and monitor physical, environmental, and economic conditions, and their changes over time.",Federal Pay and Benefits,Water resources,U.S. Federal Government,State; U.S. Citizen; U.S. Territories; Local,Flood Risk,13000,7400,Flood Risk,13000,7400,2021-01-13 at 13.32.03
732123,Corps of Engineers--Civil Works,National Dam Safety Program,"The Corps uses this funding to manage its overall effort to help reduce risks of loss of life and property damage that would occur from the failure of a Corps dam.  The Corps owns 720 dams and appurtenant structures (such as saddle dams, levees, dikes that have different consequences downstream from the main dam), located at 555 of its projects.  The Corps also uses this funding to update its Dam Safety Investment Plan (DSIP), with the goal of determining short-term and long-term strategies for modification and repair of those dams in the portfolio that pose the highest risk.  The Corps uses the DSIP to evaluate the effects of each of these potential strategic investments, with the objective of reducing the overall risk of the portfolio of Corps dams in the most efficient and cost-effective manner.  The Corps also uses these funds to perform Periodic Assessments (PA) of these dams and structures; review Semi-Quantitative Risk Assessment and PA reports; review dam instrumentation; and update and publish dam safety policy and guidance.",Federal Pay and Benefits,Water resources,U.S. Federal Government,State; U.S. Citizen; U.S. Territories; Local,Flood Risk,11583,14514,Flood Risk,11583,14514,2021-01-13 at 13.32.03
732113,Corps of Engineers--Civil Works,National Flood Risk Management Program,"The Corps uses this funding to support its participation in interagency technical and policy coordination groups on issues of flood risk management at the national, regional, and state levels.  At the national level, the Corps uses this funding to support its participation in the FEMA-chaired National Mitigation Framework Leadership (MitFLG) and to support its participation in the work of the Federal Interagency Floodplain Management Task Force (FIFM-TF).  At the regional level, the Corps uses this funding to support its involvement in intergovernmental partnerships that inform the development of a coordinated long-term regional recovery strategy after a major flood, in order to improve the ability of the affected local communities to manage their future flood risks.  At the state level, the Corps uses this funding to provide direction and oversight to its involvement in the Silver Jackets program, which supports state-led interagency teams that help states to provide a unified approach to manage and reduce their flood risks.  The Corps also has used some of this funding to improve its approach to flood risk management and to develop supporting technical products.",Federal Pay and Benefits,Water resources,U.S. Federal Government,State; U.S. Citizen; U.S. Territories; Local,Flood Risk,5373,4848,Flood Risk,5373,4848,2021-01-13 at 13.32.03
732114,Corps of Engineers--Civil Works,National Shoreline Management Study,"The study is an interagency effort to describe in broad terms the extent and causes of shoreline erosion and accretion for each of the coastal regions of the United States, describe the overall economic and environmental impacts of that erosion and accretion, and inform overall approaches to managing the effects of this erosion and accretion in the coastal zone.  It supports the development of a strategic, systems approach to coastal resources.",Federal Pay and Benefits,Water resources,U.S. Federal Government,State; U.S. Citizen; U.S. Territories; Local,Flood Risk,499,4151,Flood Risk,499,4151,2021-01-13 at 13.32.03
